item,domaine,bloc,retenu,n_gauche,n_droite,gs_gauche,gs_centre,gs_droite,ratio_droite_gauche,ic_bas,ic_haut,p_permutation,p_holm,p_bh
QID25_14,personnalite,Personality,True,909.000000,567.000000,0.767395,0.762200,0.756788,0.986179,0.960385,1.010711,0.290435,1.000000,0.445529
QID25_15,personnalite,Personality,True,909.000000,567.000000,0.721161,0.715132,0.719558,0.997777,0.965591,1.028139,0.884456,1.000000,0.921626
QID25_16,personnalite,Personality,True,909.000000,567.000000,0.767225,0.755020,0.747129,0.973806,0.951265,0.994810,0.010899,1.000000,0.033356
QID25_17,personnalite,Personality,True,909.000000,567.000000,0.701567,0.717355,0.676146,0.963764,0.926684,0.999565,0.066447,1.000000,0.139477
QID25_18,personnalite,Personality,True,909.000000,567.000000,0.768924,0.751595,0.693433,0.901823,0.868758,0.931988,0.000050,0.030448,0.000350
QID25_19,personnalite,Personality,True,909.000000,567.000000,0.770739,0.795553,0.778875,1.010556,0.990750,1.028625,0.197840,1.000000,0.330095
QID25_20,personnalite,Personality,True,909.000000,567.000000,0.648539,0.683003,0.679050,1.047045,1.002249,1.089939,0.024199,1.000000,0.062970
QID25_21,personnalite,Personality,True,909.000000,567.000000,0.766886,0.756256,0.767439,1.000721,0.978465,1.022810,0.945503,1.000000,0.961005
QID25_22,personnalite,Personality,True,909.000000,567.000000,0.740418,0.733242,0.722462,0.975749,0.939655,1.007331,0.158542,1.000000,0.279861
QID25_23,personnalite,Personality,True,909.000000,567.000000,0.765662,0.747727,0.692112,0.903939,0.872236,0.932346,0.000050,0.030448,0.000350
QID25_24,personnalite,Personality,True,909.000000,567.000000,0.776130,0.743735,0.729872,0.940399,0.915918,0.962380,0.000050,0.030448,0.000350
QID25_25,personnalite,Personality,True,909.000000,567.000000,0.717284,0.730196,0.721845,1.006359,0.963336,1.046942,0.747863,1.000000,0.828088
QID25_26,personnalite,Personality,True,909.000000,567.000000,0.791185,0.780755,0.777815,0.983101,0.964032,0.997972,0.013949,1.000000,0.040453
QID25_27,personnalite,Personality,True,909.000000,567.000000,0.764746,0.779536,0.764691,0.999927,0.981513,1.016055,0.992600,1.000000,0.999163
QID25_28,personnalite,Personality,True,909.000000,567.000000,0.685497,0.673918,0.612647,0.893727,0.853983,0.934974,0.000050,0.030448,0.000350
QID25_29,personnalite,Personality,True,909.000000,567.000000,0.774431,0.781630,0.773272,0.998503,0.976564,1.018072,0.884406,1.000000,0.921626
QID25_30,personnalite,Personality,True,909.000000,567.000000,0.615012,0.700262,0.709412,1.153493,1.106665,1.210761,0.000050,0.030448,0.000350
QID25_31,personnalite,Personality,True,909.000000,567.000000,0.752907,0.753370,0.773752,1.027686,1.003655,1.054026,0.023049,1.000000,0.060634
QID25_32,personnalite,Personality,True,909.000000,567.000000,0.599499,0.619349,0.606247,1.011256,0.967503,1.057649,0.622919,1.000000,0.753510
QID25_33,personnalite,Personality,True,909.000000,567.000000,0.649697,0.619065,0.574364,0.884048,0.843041,0.919929,0.000050,0.030448,0.000350
QID25_34,personnalite,Personality,True,909.000000,567.000000,0.730381,0.701179,0.691838,0.947229,0.910148,0.979568,0.002850,1.000000,0.010648
QID25_35,personnalite,Personality,True,909.000000,567.000000,0.769522,0.759935,0.758994,0.986319,0.965423,1.004890,0.184241,1.000000,0.314293
QID25_36,personnalite,Personality,True,909.000000,567.000000,0.791059,0.791567,0.765881,0.968171,0.944492,0.987196,0.000200,0.099395,0.001032
QID25_37,personnalite,Personality,True,909.000000,567.000000,0.713656,0.730391,0.707418,0.991258,0.953432,1.023181,0.601170,1.000000,0.739621
QID25_38,personnalite,Personality,True,909.000000,567.000000,0.698693,0.691011,0.637756,0.912784,0.878158,0.948191,0.000050,0.030448,0.000350
QID25_39,personnalite,Personality,True,909.000000,567.000000,0.789760,0.790810,0.776656,0.983407,0.969455,0.996271,0.001550,0.712964,0.006293
QID25_40,personnalite,Personality,True,909.000000,567.000000,0.650402,0.675409,0.672568,1.034080,0.987655,1.084372,0.106195,1.000000,0.198993
QID25_41,personnalite,Personality,True,909.000000,567.000000,0.716382,0.763874,0.772749,1.078682,1.051441,1.106681,0.000050,0.030448,0.000350
QID25_42,personnalite,Personality,True,909.000000,567.000000,0.682798,0.664738,0.650046,0.952033,0.913834,0.990411,0.014899,1.000000,0.042800
QID25_43,personnalite,Personality,True,909.000000,567.000000,0.784604,0.787734,0.761076,0.970013,0.949870,0.988731,0.000100,0.052197,0.000603
QID25_44,personnalite,Personality,True,909.000000,567.000000,0.744178,0.784564,0.774874,1.041247,1.015885,1.067249,0.001500,0.694465,0.006131
QID26_1,personnalite,Personality,True,909.000000,567.000000,0.757515,0.769476,0.761525,1.005293,0.975972,1.032248,0.711464,1.000000,0.805526
QID26_2,personnalite,Personality,True,909.000000,567.000000,0.749992,0.747177,0.752058,1.002756,0.972401,1.031300,0.856707,1.000000,0.901096
QID26_3,personnalite,Personality,True,909.000000,567.000000,0.723405,0.742315,0.754059,1.042374,1.014232,1.070723,0.003400,1.000000,0.012324
QID26_4,personnalite,Personality,True,909.000000,567.000000,0.751554,0.766394,0.762902,1.015099,0.991603,1.037489,0.200090,1.000000,0.332444
QID26_5,personnalite,Personality,True,909.000000,567.000000,0.724779,0.745373,0.748506,1.032737,1.007313,1.060804,0.022399,1.000000,0.060634
QID26_6,personnalite,Personality,True,909.000000,567.000000,0.762808,0.768293,0.768355,1.007272,0.980991,1.030550,0.561872,1.000000,0.711393
QID26_7,personnalite,Personality,True,909.000000,567.000000,0.758686,0.767743,0.774986,1.021484,1.001663,1.040353,0.028149,1.000000,0.072027
QID26_8,personnalite,Personality,True,909.000000,567.000000,0.757668,0.760503,0.754919,0.996371,0.973768,1.015568,0.729164,1.000000,0.815628
QID26_9,personnalite,Personality,True,909.000000,567.000000,0.776748,0.780258,0.752650,0.968976,0.942966,0.993050,0.003100,1.000000,0.011441
QID26_10,personnalite,Personality,True,909.000000,567.000000,0.737006,0.741635,0.736553,0.999385,0.967425,1.031247,0.969252,1.000000,0.977275
QID26_11,personnalite,Personality,True,909.000000,567.000000,0.720732,0.721655,0.715906,0.993304,0.956308,1.026587,0.692665,1.000000,0.797176
QID26_12,personnalite,Personality,True,909.000000,567.000000,0.703167,0.731024,0.757474,1.077232,1.042311,1.110449,0.000050,0.030448,0.000350
QID26_13,personnalite,Personality,True,909.000000,567.000000,0.768902,0.768949,0.776332,1.009663,0.987268,1.029861,0.382131,1.000000,0.547571
QID26_14,personnalite,Personality,True,909.000000,567.000000,0.723254,0.731320,0.743763,1.028356,0.993879,1.058808,0.079846,1.000000,0.161014
QID26_15,personnalite,Personality,True,909.000000,567.000000,0.758807,0.760444,0.755392,0.995500,0.968831,1.019189,0.702615,1.000000,0.801336
QID26_16,personnalite,Personality,True,909.000000,567.000000,0.775776,0.786882,0.767102,0.988819,0.967355,1.006669,0.239088,1.000000,0.379179
QID26_17,personnalite,Personality,True,909.000000,567.000000,0.755427,0.773415,0.774699,1.025512,1.004328,1.046814,0.024099,1.000000,0.062970
QID26_18,personnalite,Personality,True,909.000000,567.000000,0.732651,0.757658,0.745701,1.017812,0.983954,1.057540,0.285786,1.000000,0.440350
QID29_1,personnalite,Personality,True,909.000000,567.000000,0.881098,0.878424,0.881423,1.000368,0.992585,1.006705,0.887806,1.000000,0.922651
QID29_2,personnalite,Personality,True,909.000000,567.000000,0.825150,0.833484,0.852232,1.032820,1.018600,1.045728,0.000050,0.030448,0.000350
QID29_3,personnalite,Personality,True,909.000000,567.000000,0.871520,0.869280,0.844099,0.968537,0.955211,0.979907,0.000050,0.030448,0.000350
QID29_4,personnalite,Personality,True,909.000000,567.000000,0.857771,0.873739,0.884333,1.030967,1.020742,1.040662,0.000050,0.030448,0.000350
QID29_5,personnalite,Personality,True,909.000000,567.000000,0.777448,0.756179,0.735013,0.945418,0.908607,0.976865,0.000100,0.052197,0.000603
QID29_6,personnalite,Personality,True,909.000000,567.000000,0.794163,0.789840,0.780451,0.982734,0.962636,1.003448,0.105595,1.000000,0.198479
QID29_7,personnalite,Personality,True,909.000000,567.000000,0.840552,0.833224,0.818729,0.974037,0.954442,0.992320,0.001900,0.868257,0.007465
QID29_8,personnalite,Personality,True,909.000000,567.000000,0.878467,0.864016,0.863992,0.983522,0.973092,0.992126,0.000100,0.052197,0.000603
QID29_9,personnalite,Personality,True,909.000000,567.000000,0.832027,0.850974,0.848387,1.019662,1.002755,1.033509,0.013549,1.000000,0.039862
QID29_10,personnalite,Personality,True,909.000000,567.000000,0.888050,0.880807,0.879292,0.990137,0.982720,0.995434,0.000050,0.030448,0.000350
QID29_11,personnalite,Personality,True,909.000000,567.000000,0.793196,0.750253,0.709942,0.895039,0.855546,0.931583,0.000050,0.030448,0.000350
QID29_12,personnalite,Personality,True,909.000000,567.000000,0.840525,0.821270,0.801622,0.953715,0.932565,0.970711,0.000050,0.030448,0.000350
QID29_13,personnalite,Personality,True,908.000000,567.000000,0.728324,0.767731,0.818535,1.123861,1.079082,1.168836,0.000050,0.030448,0.000350
QID29_14,personnalite,Personality,True,908.000000,567.000000,0.815002,0.816161,0.829435,1.017709,1.000531,1.033198,0.030648,1.000000,0.076496
QID29_15,personnalite,Personality,True,908.000000,567.000000,0.876531,0.875862,0.881716,1.005916,0.997297,1.012808,0.108495,1.000000,0.202679
QID29_16,personnalite,Personality,True,908.000000,567.000000,0.738480,0.690664,0.641707,0.868956,0.819887,0.915799,0.000050,0.030448,0.000350
QID29_17,personnalite,Personality,True,908.000000,567.000000,0.726221,0.782296,0.792087,1.090696,1.051487,1.128108,0.000050,0.030448,0.000350
QID29_18,personnalite,Personality,True,908.000000,567.000000,0.822871,0.845733,0.870816,1.058266,1.039993,1.075146,0.000050,0.030448,0.000350
QID29_19,personnalite,Personality,True,906.000000,564.000000,0.813345,0.804621,0.798823,0.982146,0.963486,0.999122,0.046498,1.000000,0.108080
QID29_20,personnalite,Personality,True,905.000000,564.000000,0.781961,0.773790,0.807352,1.032470,1.005456,1.060383,0.022899,1.000000,0.060634
QID29_21,personnalite,Personality,True,905.000000,564.000000,0.636203,0.828466,0.875175,1.375623,1.315173,1.447618,0.000050,0.030448,0.000350
QID29_22,personnalite,Personality,True,904.000000,564.000000,0.835433,0.845468,0.856871,1.025661,1.003982,1.042915,0.010049,1.000000,0.031225
QID29_23,personnalite,Personality,True,902.000000,563.000000,0.867890,0.883721,0.849908,0.979281,0.963399,0.991635,0.000050,0.030448,0.000350
QID29_24,personnalite,Personality,True,888.000000,546.000000,0.742850,0.803046,0.853433,1.148863,1.113128,1.189057,0.000050,0.030448,0.000350
QID35_1,personnalite,Personality,True,909.000000,567.000000,0.776477,0.776969,0.749646,0.965446,0.940168,0.988802,0.001850,0.847258,0.007412
QID35_2,personnalite,Personality,True,909.000000,567.000000,0.772517,0.776697,0.775036,1.003260,0.981017,1.022964,0.756162,1.000000,0.829735
QID35_3,personnalite,Personality,True,909.000000,567.000000,0.752735,0.756179,0.745870,0.990880,0.962273,1.018005,0.531573,1.000000,0.685865
QID35_4,personnalite,Personality,True,909.000000,567.000000,0.776447,0.766855,0.765202,0.985516,0.960654,1.008640,0.183291,1.000000,0.313551
QID35_5,personnalite,Personality,True,909.000000,567.000000,0.786378,0.767920,0.764896,0.972683,0.951785,0.990111,0.000500,0.240988,0.002360
QID35_6,personnalite,Personality,True,909.000000,567.000000,0.747789,0.721034,0.674469,0.901951,0.865685,0.934916,0.000050,0.030448,0.000350
QID35_7,personnalite,Personality,True,909.000000,567.000000,0.778851,0.781565,0.779323,1.000606,0.982674,1.015681,0.937753,1.000000,0.959818
QID35_8,personnalite,Personality,True,909.000000,567.000000,0.787592,0.775846,0.780601,0.991124,0.973397,1.005843,0.181241,1.000000,0.312679
QID35_9,personnalite,Personality,True,909.000000,567.000000,0.660245,0.649946,0.634123,0.960435,0.918380,1.006254,0.082546,1.000000,0.165363
QID35_10,personnalite,Personality,True,909.000000,567.000000,0.759592,0.756960,0.724076,0.953244,0.920331,0.983483,0.001350,0.626369,0.005631
QID35_11,personnalite,Personality,True,909.000000,567.000000,0.688834,0.670091,0.657549,0.954583,0.913873,0.992896,0.022799,1.000000,0.060634
QID35_12,personnalite,Personality,True,909.000000,567.000000,0.691036,0.689970,0.660391,0.955653,0.912260,1.001767,0.039198,1.000000,0.095106
QID232_1,personnalite,Personality,True,909.000000,567.000000,0.623542,0.675900,0.702943,1.127340,1.085264,1.171840,0.000050,0.030448,0.000350
QID232_2,personnalite,Personality,True,909.000000,567.000000,0.644623,0.682885,0.715052,1.109256,1.054343,1.167557,0.000150,0.076196,0.000816
QID232_3,personnalite,Personality,True,909.000000,567.000000,0.494172,0.558050,0.567646,1.148680,1.082592,1.218469,0.000050,0.030448,0.000350
QID232_4,personnalite,Personality,True,909.000000,567.000000,0.764482,0.781920,0.783449,1.024810,1.001627,1.048672,0.037248,1.000000,0.090736
QID232_5,personnalite,Personality,True,909.000000,567.000000,0.741036,0.775727,0.782464,1.055906,1.032331,1.081218,0.000100,0.052197,0.000603
QID232_6,personnalite,Personality,True,909.000000,567.000000,0.646206,0.690071,0.697665,1.079633,1.037558,1.124415,0.000150,0.076196,0.000816
QID232_7,personnalite,Personality,True,909.000000,567.000000,0.672901,0.726363,0.753641,1.119987,1.085789,1.155401,0.000050,0.030448,0.000350
QID232_8,personnalite,Personality,True,909.000000,567.000000,0.586136,0.673859,0.694256,1.184463,1.127393,1.241513,0.000050,0.030448,0.000350
QID232_9,personnalite,Personality,True,909.000000,567.000000,0.587723,0.610590,0.615140,1.046650,0.992244,1.101078,0.056097,1.000000,0.125586
QID232_10,personnalite,Personality,True,909.000000,567.000000,0.670294,0.689397,0.696418,1.038974,0.997895,1.085511,0.066647,1.000000,0.139477
QID232_11,personnalite,Personality,True,909.000000,567.000000,0.701611,0.745846,0.750432,1.069584,1.032108,1.104586,0.000200,0.099395,0.001032
QID232_12,personnalite,Personality,True,909.000000,567.000000,0.695042,0.720685,0.678738,0.976543,0.924312,1.022844,0.313134,1.000000,0.472027
QID232_13,personnalite,Personality,True,909.000000,567.000000,0.667340,0.716172,0.723478,1.084121,1.039831,1.120422,0.000050,0.030448,0.000350
QID232_14,personnalite,Personality,True,909.000000,567.000000,0.584902,0.616061,0.615938,1.053061,1.008321,1.099685,0.015549,1.000000,0.044044
QID232_15,personnalite,Personality,True,909.000000,567.000000,0.757038,0.769984,0.756495,0.999283,0.977892,1.019401,0.939903,1.000000,0.960404
QID232_16,personnalite,Personality,True,909.000000,567.000000,0.569048,0.597909,0.603667,1.060837,1.011888,1.106776,0.011249,1.000000,0.034255
QID232_17,personnalite,Personality,True,909.000000,567.000000,0.761186,0.769759,0.764983,1.004988,0.981726,1.025778,0.662217,1.000000,0.778552
QID232_18,personnalite,Personality,True,909.000000,567.000000,0.572152,0.658327,0.667757,1.167098,1.111310,1.221819,0.000050,0.030448,0.000350
QID232_19,personnalite,Personality,True,909.000000,567.000000,0.616355,0.668956,0.694206,1.126309,1.078906,1.176692,0.000050,0.030448,0.000350
QID232_20,personnalite,Personality,True,909.000000,567.000000,0.545407,0.621449,0.636167,1.166407,1.103712,1.231279,0.000050,0.030448,0.000350
QID235_1,personnalite,Personality,True,909.000000,567.000000,0.634153,0.722170,0.754221,1.189336,1.139812,1.242301,0.000050,0.030448,0.000350
QID235_2,personnalite,Personality,True,909.000000,567.000000,0.684566,0.759379,0.779710,1.138983,1.100487,1.180241,0.000050,0.030448,0.000350
QID235_3,personnalite,Personality,True,909.000000,567.000000,0.712973,0.776822,0.788142,1.105430,1.074381,1.137582,0.000050,0.030448,0.000350
QID235_4,personnalite,Personality,True,909.000000,567.000000,0.592274,0.702374,0.765613,1.292668,1.240068,1.342794,0.000050,0.030448,0.000350
QID235_5,personnalite,Personality,True,909.000000,567.000000,0.720492,0.754251,0.780775,1.083670,1.057365,1.111822,0.000050,0.030448,0.000350
QID235_6,personnalite,Personality,True,909.000000,567.000000,0.675017,0.751235,0.787226,1.166231,1.132365,1.205283,0.000050,0.030448,0.000350
QID56,cognitif,Cognitive tests,True,909.000000,567.000000,0.441207,0.455582,0.510174,1.156314,1.025081,1.296042,0.022699,1.000000,0.060634
QID57,cognitif,Cognitive tests,True,909.000000,567.000000,0.568963,0.623206,0.613376,1.078061,0.989690,1.173650,0.093995,1.000000,0.182303
QID58,cognitif,Cognitive tests,True,909.000000,567.000000,0.625039,0.657777,0.719483,1.151101,1.081063,1.224015,0.000150,0.076196,0.000816
QID59,cognitif,Cognitive tests,True,909.000000,567.000000,0.751089,0.783298,0.804208,1.070722,1.036095,1.107453,0.000150,0.076196,0.000816
QID60,cognitif,Cognitive tests,True,909.000000,567.000000,0.807570,0.834667,0.843071,1.043960,1.021096,1.069215,0.000450,0.217339,0.002158
QID61,cognitif,Cognitive tests,True,909.000000,567.000000,0.732232,0.771025,0.790074,1.078993,1.038972,1.120702,0.000250,0.122744,0.001248
QID63,cognitif,Cognitive tests,True,909.000000,567.000000,0.298573,0.396100,0.451568,1.512418,1.280717,1.792777,0.000050,0.030448,0.000350
QID64,cognitif,Cognitive tests,True,909.000000,567.000000,0.399803,0.502966,0.553331,1.384009,1.227216,1.558822,0.000050,0.030448,0.000350
QID65,cognitif,Cognitive tests,True,909.000000,567.000000,0.422299,0.519953,0.512617,1.213871,1.079715,1.366428,0.001500,0.694465,0.006131
QID66,cognitif,Cognitive tests,True,909.000000,567.000000,0.572191,0.619071,0.588305,1.028163,0.934987,1.125494,0.555272,1.000000,0.707180
QID67,cognitif,Cognitive tests,True,909.000000,567.000000,0.552020,0.620621,0.621977,1.126728,1.042338,1.216124,0.004250,1.000000,0.014789
QID68,cognitif,Cognitive tests,True,909.000000,567.000000,0.450888,0.532415,0.516823,1.146236,1.020800,1.280306,0.026399,1.000000,0.067835
QID69,cognitif,Cognitive tests,True,909.000000,567.000000,0.430228,0.544097,0.521884,1.213041,1.081498,1.368196,0.003550,1.000000,0.012717
QID70,cognitif,Cognitive tests,True,909.000000,567.000000,0.666264,0.665141,0.674451,1.012287,0.951514,1.081784,0.703015,1.000000,0.801336
QID71,cognitif,Cognitive tests,True,909.000000,567.000000,0.436152,0.557245,0.584067,1.339136,1.205948,1.472175,0.000050,0.030448,0.000350
QID72,cognitif,Cognitive tests,True,909.000000,567.000000,0.411686,0.492012,0.442425,1.074667,0.918231,1.227669,0.348133,1.000000,0.514306
QID74,cognitif,Cognitive tests,True,909.000000,567.000000,0.308561,0.470501,0.484255,1.569395,1.350241,1.848368,0.000050,0.030448,0.000350
QID75,cognitif,Cognitive tests,True,909.000000,567.000000,0.595424,0.626476,0.658596,1.106097,1.040778,1.174455,0.001900,0.868257,0.007465
QID76,cognitif,Cognitive tests,True,909.000000,567.000000,0.489345,0.559919,0.589813,1.205310,1.107135,1.312569,0.000100,0.052197,0.000603
QID77,cognitif,Cognitive tests,True,909.000000,567.000000,0.365147,0.454750,0.424751,1.163234,0.988733,1.350112,0.065647,1.000000,0.139299
QID78,cognitif,Cognitive tests,True,909.000000,567.000000,0.574020,0.656121,0.700214,1.219842,1.138289,1.300723,0.000050,0.030448,0.000350
QID79,cognitif,Cognitive tests,True,909.000000,567.000000,0.527505,0.557848,0.532796,1.010030,0.908538,1.113926,0.845808,1.000000,0.894193
QID81,cognitif,Cognitive tests,True,909.000000,567.000000,0.622008,0.681016,0.659799,1.060756,0.987929,1.127228,0.104945,1.000000,0.198479
QID82,cognitif,Cognitive tests,True,909.000000,567.000000,0.518687,0.528251,0.541945,1.044839,0.935140,1.160187,0.430478,1.000000,0.594296
QID83,cognitif,Cognitive tests,True,909.000000,567.000000,0.507686,0.581667,0.627953,1.236892,1.139502,1.347040,0.000100,0.052197,0.000603
QID80,cognitif,Cognitive tests,True,909.000000,567.000000,0.339522,0.435545,0.431912,1.272117,1.074887,1.488611,0.004750,1.000000,0.016251
QID278,cognitif,Cognitive tests,True,909.000000,567.000000,0.125614,0.136753,0.185403,1.475980,1.081284,2.056231,0.028999,1.000000,0.073584
QID268,cognitif,Cognitive tests,True,909.000000,567.000000,0.532041,0.540193,0.573610,1.078130,1.033583,1.126110,0.000250,0.122744,0.001248
QID269,cognitif,Cognitive tests,True,909.000000,567.000000,0.505173,0.543600,0.574339,1.136914,1.073417,1.203576,0.000050,0.030448,0.000350
QID270,cognitif,Cognitive tests,True,909.000000,567.000000,0.549444,0.540039,0.559700,1.018665,0.960448,1.069325,0.461627,1.000000,0.624735
QID279,cognitif,Cognitive tests,True,909.000000,567.000000,0.153405,0.217187,0.237703,1.549513,1.171215,2.015385,0.002000,0.907955,0.007807
QID271,cognitif,Cognitive tests,True,909.000000,567.000000,0.360395,0.374783,0.386461,1.072327,0.943891,1.207529,0.258187,1.000000,0.403072
QID272,cognitif,Cognitive tests,True,909.000000,567.000000,0.463592,0.492320,0.493890,1.065353,1.025919,1.113699,0.007750,1.000000,0.025104
QID273,cognitif,Cognitive tests,True,909.000000,567.000000,0.472025,0.489410,0.481687,1.020470,0.972353,1.063830,0.376381,1.000000,0.545753
QID274,cognitif,Cognitive tests,True,909.000000,567.000000,0.438130,0.381597,0.381339,0.870379,0.780121,0.959030,0.004500,1.000000,0.015482
QID275,cognitif,Cognitive tests,True,909.000000,567.000000,0.055631,0.050304,0.097232,1.747819,1.108692,2.899938,0.045098,1.000000,0.106452
QID276,cognitif,Cognitive tests,True,909.000000,567.000000,0.474593,0.499701,0.500844,1.055313,1.026380,1.089962,0.000900,0.424779,0.003915
QID277,cognitif,Cognitive tests,True,909.000000,567.000000,0.408882,0.450799,0.439185,1.074110,0.983357,1.170320,0.129894,1.000000,0.234039
QID224,economique,Economic preferences,True,909.000000,567.000000,0.592104,0.615570,0.630963,1.065629,0.999542,1.135887,0.052597,1.000000,0.119969
QID225,economique,Economic preferences,True,909.000000,567.000000,0.160703,0.160175,0.189579,1.179682,0.890112,1.542301,0.237888,1.000000,0.378261
QID226,economique,Economic preferences,True,909.000000,567.000000,0.115749,0.128230,0.128330,1.108694,0.780249,1.545646,0.594970,1.000000,0.734963
QID227,economique,Economic preferences,True,909.000000,567.000000,0.034622,0.060046,0.064888,1.874188,0.930196,3.929418,0.074146,1.000000,0.152551
QID228,economique,Economic preferences,True,909.000000,567.000000,0.065953,0.079209,0.109821,1.665134,1.044901,2.704986,0.039748,1.000000,0.096058
QID229,economique,Economic preferences,True,909.000000,567.000000,0.411688,0.422639,0.420601,1.021648,0.927880,1.123706,0.687766,1.000000,0.796349
QID230,economique,Economic preferences,True,909.000000,567.000000,0.444197,0.435651,0.472489,1.063691,0.999594,1.131878,0.072896,1.000000,0.150488
QID149,economique,Economic preferences,True,909.000000,567.000000,0.472548,0.488345,0.495460,1.048486,1.011279,1.087970,0.020899,1.000000,0.057331
QID150,economique,Economic preferences,True,909.000000,567.000000,0.376238,0.388222,0.447560,1.189569,1.083196,1.309665,0.001750,0.803210,0.007058
QID151,economique,Economic preferences,True,909.000000,567.000000,0.221258,0.219772,0.297842,1.346130,1.115769,1.659861,0.006300,1.000000,0.021314
QID152,economique,Economic preferences,True,909.000000,567.000000,0.371808,0.418505,0.448707,1.206825,1.105947,1.328139,0.000500,0.240988,0.002360
QID27_1,personnalite,Personality,True,909.000000,567.000000,0.500041,0.496549,0.483706,0.967333,0.929666,0.991842,0.000150,0.076196,0.000816
QID27_2,personnalite,Personality,True,909.000000,567.000000,0.453396,0.492320,0.495460,1.092776,1.044460,1.147976,0.000750,0.356232,0.003358
QID27_3,personnalite,Personality,True,909.000000,567.000000,0.398220,0.476634,0.486822,1.222495,1.139748,1.311640,0.000050,0.030448,0.000350
QID27_4,personnalite,Personality,True,909.000000,567.000000,0.498582,0.483613,0.466294,0.935239,0.885248,0.971989,0.000100,0.052197,0.000603
QID27_5,personnalite,Personality,True,909.000000,567.000000,0.465947,0.448599,0.440419,0.945211,0.875770,1.009780,0.085846,1.000000,0.169487
QID27_6,personnalite,Personality,True,909.000000,567.000000,0.500283,0.500648,0.500869,1.001171,0.992909,1.007523,0.384231,1.000000,0.549288
QID27_7,personnalite,Personality,True,909.000000,567.000000,0.447832,0.403955,0.384766,0.859176,0.768779,0.942222,0.000900,0.424779,0.003915
QID27_8,personnalite,Personality,True,909.000000,567.000000,0.475587,0.463007,0.430198,0.904563,0.833003,0.962928,0.002550,1.000000,0.009766
QID27_9,personnalite,Personality,True,909.000000,567.000000,0.488507,0.441714,0.454254,0.929882,0.877554,0.977734,0.002650,1.000000,0.010086
QID27_10,personnalite,Personality,True,909.000000,567.000000,0.281740,0.391463,0.391472,1.389482,1.202958,1.608940,0.000050,0.030448,0.000350
QID27_11,personnalite,Personality,True,909.000000,567.000000,0.417169,0.471879,0.486822,1.166965,1.094640,1.249995,0.000100,0.052197,0.000603
QID27_12,personnalite,Personality,True,909.000000,567.000000,0.476076,0.475871,0.497442,1.044878,1.015646,1.084663,0.016899,1.000000,0.047646
QID27_13,personnalite,Personality,True,909.000000,567.000000,0.421604,0.414264,0.447560,1.061566,0.977895,1.146530,0.168042,1.000000,0.293230
QID30_1,personnalite,Personality,True,909.000000,567.000000,0.848875,0.830852,0.798661,0.940846,0.920694,0.960233,0.000050,0.030448,0.000350
QID30_2,personnalite,Personality,True,909.000000,567.000000,0.800066,0.780956,0.750326,0.937830,0.912554,0.962782,0.000050,0.030448,0.000350
QID30_3,personnalite,Personality,True,909.000000,567.000000,0.833510,0.821607,0.808109,0.969525,0.952401,0.985709,0.000200,0.099395,0.001032
QID30_4,personnalite,Personality,True,909.000000,567.000000,0.794854,0.783067,0.746736,0.939463,0.908104,0.966078,0.000050,0.030448,0.000350
QID30_5,personnalite,Personality,True,909.000000,567.000000,0.860201,0.842628,0.788079,0.916157,0.893607,0.936522,0.000050,0.030448,0.000350
