camp,tirage,var_pc1,var_pc2,n_axes_50,n_axes_80,meilleur_k,silhouette,sil_k2,sil_k3,sil_k4,sil_k5,sil_k6,sil_k7,sil_k8
gauche,22,0.110037,0.081019,13,36,2,0.082957,0.082957,0.041899,0.038926,0.028506,0.028426,0.030673,0.025364
gauche,23,0.108591,0.080999,14,36,2,0.077109,0.077109,0.044780,0.028356,0.030807,0.041591,0.016320,0.018535
gauche,24,0.116750,0.087010,13,35,2,0.086291,0.086291,0.056639,0.040814,0.039315,0.023350,0.031194,0.021564
gauche,25,0.103720,0.078422,14,36,2,0.073144,0.073144,0.044931,0.031979,0.033982,0.027958,0.022214,0.019809
gauche,26,0.110059,0.077486,14,36,2,0.077245,0.077245,0.056132,0.037041,0.034483,0.030890,0.019631,0.022564
gauche,27,0.113589,0.081501,13,35,2,0.074649,0.074649,0.051918,0.034615,0.037372,0.030933,0.027265,0.014322
gauche,28,0.116613,0.074495,13,36,2,0.090814,0.090814,0.040773,0.036460,0.024440,0.035159,0.023643,0.018246
gauche,29,0.118174,0.086835,13,36,2,0.087873,0.087873,0.046010,0.036926,0.037165,0.025517,0.029926,0.019064
gauche,30,0.114058,0.080156,14,36,2,0.066395,0.066395,0.046438,0.047548,0.033180,0.024776,0.025588,0.022327
gauche,31,0.117692,0.081791,13,35,2,0.083429,0.083429,0.041366,0.032482,0.032799,0.027785,0.033229,0.022382
gauche,32,0.117890,0.078969,13,35,2,0.083766,0.083766,0.049760,0.040668,0.033395,0.026791,0.022740,0.023312
gauche,33,0.113346,0.073767,14,36,2,0.084968,0.084968,0.033599,0.035133,0.033056,0.033425,0.021295,0.014825
gauche,34,0.111391,0.084504,13,36,2,0.084558,0.084558,0.053498,0.034100,0.036174,0.023282,0.015705,0.028978
gauche,35,0.112768,0.081680,14,36,2,0.075526,0.075526,0.056138,0.040565,0.039600,0.021258,0.036540,0.014157
gauche,36,0.114419,0.080013,14,36,2,0.083045,0.083045,0.045857,0.045977,0.034058,0.028633,0.020041,0.029752
gauche,37,0.110115,0.082664,13,35,2,0.076962,0.076962,0.045055,0.035894,0.028821,0.030288,0.023202,0.026982
gauche,38,0.106148,0.081922,14,36,2,0.075164,0.075164,0.051900,0.037230,0.032174,0.034836,0.024992,0.018286
gauche,39,0.112795,0.079837,14,36,2,0.080531,0.080531,0.040990,0.040007,0.031762,0.020729,0.025323,0.024468
gauche,40,0.114001,0.078832,13,36,2,0.070055,0.070055,0.045257,0.042485,0.030479,0.027180,0.026802,0.026544
gauche,41,0.116060,0.079401,13,36,2,0.079679,0.079679,0.041266,0.038722,0.037837,0.026068,0.033590,0.025637
gauche,42,0.115330,0.080801,13,36,2,0.075555,0.075555,0.042707,0.039625,0.042106,0.030272,0.024721,0.019996
gauche,43,0.115444,0.082377,13,36,2,0.073043,0.073043,0.047192,0.036684,0.031835,0.021721,0.019344,0.020229
gauche,44,0.110535,0.079030,14,36,2,0.078363,0.078363,0.047111,0.035822,0.029336,0.020349,0.020781,0.024193
gauche,45,0.105566,0.080521,14,36,2,0.078049,0.078049,0.042897,0.040649,0.038014,0.035835,0.030545,0.017519
gauche,46,0.115537,0.081846,13,36,2,0.085516,0.085516,0.048516,0.031327,0.033354,0.021769,0.025310,0.028447
gauche,47,0.104531,0.081637,14,36,2,0.064812,0.064812,0.046914,0.036254,0.032628,0.032360,0.027670,0.030098
gauche,48,0.111469,0.077984,14,36,2,0.076107,0.076107,0.051700,0.027443,0.032260,0.023096,0.026803,0.018475
gauche,49,0.109645,0.074267,14,36,2,0.075349,0.075349,0.035819,0.031488,0.029067,0.021315,0.022115,0.018394
gauche,50,0.109997,0.075695,14,36,2,0.075094,0.075094,0.040427,0.029951,0.033767,0.026486,0.025443,0.031779
gauche,51,0.115117,0.079775,13,36,2,0.071523,0.071523,0.042915,0.047722,0.025396,0.023575,0.027928,0.022907
gauche,52,0.107516,0.083094,14,36,2,0.077825,0.077825,0.038776,0.034579,0.029537,0.034134,0.015466,0.015589
gauche,53,0.117865,0.078862,13,36,2,0.087300,0.087300,0.068294,0.036311,0.053786,0.028857,0.019261,0.015371
gauche,54,0.106863,0.083051,13,36,2,0.074344,0.074344,0.055827,0.031831,0.037710,0.024801,0.026435,0.019303
gauche,55,0.116055,0.081233,13,35,2,0.073850,0.073850,0.046970,0.036936,0.035440,0.024729,0.026531,0.025330
gauche,56,0.113490,0.077112,13,35,2,0.073424,0.073424,0.051629,0.037057,0.023601,0.021222,0.026671,0.022451
gauche,57,0.115502,0.077052,13,36,2,0.080343,0.080343,0.047610,0.035008,0.032112,0.035976,0.031908,0.024665
gauche,58,0.111562,0.085310,13,36,2,0.068750,0.068750,0.049223,0.038773,0.037269,0.028415,0.017504,0.020100
gauche,59,0.105843,0.081786,14,36,2,0.082545,0.082545,0.044692,0.046120,0.028455,0.025985,0.018699,0.024207
gauche,60,0.116073,0.079906,13,36,2,0.081801,0.081801,0.065939,0.030844,0.036132,0.025033,0.028773,0.013430
gauche,61,0.111694,0.083166,13,36,2,0.073457,0.073457,0.051240,0.036220,0.033293,0.029619,0.028780,0.030987
gauche,62,0.117410,0.075147,13,36,2,0.085272,0.085272,0.049659,0.032682,0.031296,0.029734,0.022556,0.021893
gauche,63,0.116812,0.079642,13,35,2,0.074420,0.074420,0.042332,0.041792,0.034764,0.036512,0.021106,0.022597
gauche,64,0.115754,0.087884,13,35,2,0.087431,0.087431,0.046537,0.046023,0.033390,0.029760,0.031895,0.023453
gauche,65,0.125800,0.071492,14,36,2,0.078655,0.078655,0.037314,0.035946,0.031489,0.026265,0.026047,0.028303
gauche,66,0.104544,0.085266,14,36,2,0.075758,0.075758,0.039714,0.032813,0.032159,0.034509,0.031606,0.029180
gauche,67,0.119590,0.077449,13,36,2,0.079596,0.079596,0.041803,0.036308,0.024308,0.020391,0.028760,0.026864
gauche,68,0.116627,0.080471,13,35,2,0.087805,0.087805,0.049337,0.037106,0.034841,0.027146,0.027812,0.021998
gauche,69,0.117331,0.082789,13,35,2,0.083438,0.083438,0.039527,0.041179,0.038621,0.024509,0.023417,0.021361
gauche,70,0.106252,0.078469,14,36,2,0.085828,0.085828,0.054013,0.034426,0.024597,0.033441,0.016805,0.023991
gauche,71,0.116848,0.083494,13,36,2,0.076525,0.076525,0.054110,0.035472,0.017753,0.021557,0.029638,0.015848
gauche,72,0.116553,0.078679,13,35,2,0.078228,0.078228,0.058631,0.036668,0.032407,0.034504,0.020935,0.026442
gauche,73,0.114285,0.079672,13,35,2,0.078963,0.078963,0.041547,0.038965,0.025447,0.025284,0.031487,0.023635
gauche,74,0.101142,0.083434,14,36,2,0.064066,0.064066,0.045892,0.043963,0.027848,0.033344,0.022314,0.024384
gauche,75,0.114812,0.082039,14,36,2,0.072611,0.072611,0.047805,0.042706,0.036441,0.026885,0.022072,0.024834
gauche,76,0.109576,0.077066,13,36,2,0.066861,0.066861,0.034214,0.033552,0.027361,0.024332,0.023863,0.019328
gauche,77,0.114117,0.082114,13,36,2,0.076908,0.076908,0.040738,0.033432,0.036278,0.042561,0.015198,0.030259
gauche,78,0.112782,0.085012,13,36,2,0.072471,0.072471,0.061917,0.051416,0.031454,0.027039,0.023902,0.015828
gauche,79,0.115306,0.077832,13,36,2,0.069324,0.069324,0.046436,0.048301,0.035216,0.032326,0.038817,0.035173
gauche,80,0.120540,0.081120,13,35,2,0.075915,0.075915,0.042860,0.040585,0.033034,0.026191,0.025124,0.025673
gauche,81,0.109434,0.079003,13,36,2,0.079852,0.079852,0.040779,0.040223,0.017828,0.032790,0.026314,0.020139
gauche,82,0.113720,0.086328,13,36,2,0.073892,0.073892,0.041711,0.039068,0.028728,0.029009,0.030948,0.016533
gauche,83,0.111440,0.081026,13,36,2,0.076551,0.076551,0.042355,0.030474,0.031376,0.029220,0.019828,0.020133
gauche,84,0.113881,0.076193,14,36,2,0.081690,0.081690,0.040311,0.044680,0.026906,0.030793,0.033193,0.015677
gauche,85,0.110207,0.078758,14,36,2,0.081953,0.081953,0.053914,0.031140,0.031018,0.020898,0.020783,0.017453
gauche,86,0.116141,0.070826,13,36,2,0.067830,0.067830,0.039262,0.038283,0.032600,0.026937,0.029105,0.017955
gauche,87,0.119980,0.076103,14,36,2,0.079662,0.079662,0.042500,0.032393,0.029232,0.027636,0.022027,0.016882
gauche,88,0.115707,0.080884,13,35,2,0.075282,0.075282,0.042933,0.030282,0.024500,0.027220,0.034864,0.023642
gauche,89,0.118572,0.076681,14,36,2,0.088700,0.088700,0.037848,0.038483,0.027766,0.018200,0.022350,0.023219
gauche,90,0.116494,0.075189,13,36,2,0.085170,0.085170,0.049822,0.034500,0.029193,0.027152,0.027584,0.023349
gauche,91,0.113944,0.080732,13,36,2,0.083159,0.083159,0.038569,0.042210,0.030790,0.026136,0.028165,0.025931
gauche,92,0.116645,0.079037,13,36,2,0.065022,0.065022,0.045330,0.036351,0.031305,0.023320,0.022987,0.025946
gauche,93,0.116401,0.075288,14,36,2,0.096524,0.096524,0.050139,0.030553,0.030973,0.024023,0.024616,0.019818
gauche,94,0.115434,0.085868,13,36,2,0.085369,0.085369,0.052810,0.041845,0.020933,0.019941,0.027007,0.029207
gauche,95,0.116978,0.081718,13,36,2,0.090447,0.090447,0.060214,0.042681,0.040917,0.026370,0.022133,0.017881
gauche,96,0.107931,0.079993,14,36,2,0.076862,0.076862,0.036854,0.035282,0.034674,0.029719,0.028207,0.026280
gauche,97,0.119549,0.077425,13,35,2,0.090062,0.090062,0.044864,0.037820,0.029776,0.033584,0.023638,0.019231
gauche,98,0.111262,0.085792,13,35,2,0.070248,0.070248,0.048623,0.041461,0.028518,0.034673,0.031581,0.026210
gauche,99,0.115910,0.082468,13,35,2,0.088597,0.088597,0.041751,0.041595,0.035260,0.029683,0.024010,0.024637
centre,0,0.087360,0.067875,14,36,2,0.047176,0.047176,0.039743,0.039423,0.038629,0.037092,0.029607,0.025338
centre,1,0.087360,0.067875,14,36,2,0.048999,0.048999,0.037787,0.039457,0.037278,0.032670,0.023701,0.027914
centre,2,0.087360,0.067875,14,36,2,0.050181,0.050181,0.042033,0.039005,0.025214,0.035517,0.032291,0.028378
centre,3,0.087360,0.067875,14,36,2,0.046494,0.046494,0.041718,0.034814,0.032051,0.028547,0.032918,0.033800
centre,4,0.087360,0.067875,14,36,2,0.046380,0.046380,0.039723,0.039526,0.034980,0.032412,0.029329,0.025762
centre,5,0.087360,0.067875,14,36,2,0.051094,0.051094,0.040831,0.040506,0.036398,0.032884,0.028040,0.025321
centre,6,0.087360,0.067875,14,36,2,0.051844,0.051844,0.042680,0.042543,0.034541,0.034973,0.026247,0.031099
centre,7,0.087360,0.067875,14,36,2,0.046622,0.046622,0.034951,0.041189,0.033987,0.029570,0.031773,0.031254
centre,8,0.087360,0.067875,14,36,2,0.047458,0.047458,0.036740,0.032167,0.037985,0.032997,0.034407,0.029765
centre,9,0.087360,0.067875,14,36,2,0.049132,0.049132,0.036863,0.042963,0.035889,0.037821,0.015169,0.027953
centre,10,0.087360,0.067875,14,36,2,0.046486,0.046486,0.039666,0.034818,0.033784,0.030317,0.035713,0.028180
centre,11,0.087360,0.067875,14,36,2,0.047776,0.047776,0.042233,0.034062,0.029256,0.040263,0.028158,0.026178
centre,12,0.087360,0.067875,14,36,2,0.045690,0.045690,0.039580,0.038569,0.033836,0.038977,0.029541,0.029628
centre,13,0.087360,0.067875,14,36,2,0.050606,0.050606,0.039148,0.038159,0.039338,0.035503,0.020143,0.029368
centre,14,0.087360,0.067875,14,36,2,0.051531,0.051531,0.041013,0.033071,0.036064,0.034849,0.031208,0.025648
centre,15,0.087360,0.067875,14,36,2,0.046425,0.046425,0.038326,0.041285,0.032709,0.033647,0.033060,0.029249
centre,16,0.087360,0.067875,14,36,2,0.045989,0.045989,0.039289,0.036878,0.034411,0.033443,0.027527,0.028327
centre,17,0.087360,0.067875,14,36,2,0.046767,0.046767,0.043526,0.040609,0.037117,0.032725,0.030869,0.027965
centre,18,0.087360,0.067875,14,36,2,0.049686,0.049686,0.040820,0.038643,0.040356,0.021200,0.027096,0.027634
centre,19,0.087360,0.067875,14,36,2,0.051150,0.051150,0.038601,0.041015,0.040365,0.035699,0.034562,0.030617
centre,20,0.087360,0.067875,14,36,2,0.049611,0.049611,0.038999,0.040062,0.036336,0.026459,0.029984,0.025121
centre,21,0.087360,0.067875,14,36,2,0.052159,0.052159,0.032700,0.041173,0.036334,0.031929,0.030666,0.026817
centre,22,0.087360,0.067875,14,36,2,0.049043,0.049043,0.042550,0.041879,0.038841,0.032548,0.030429,0.027149
centre,23,0.087360,0.067875,14,36,2,0.051928,0.051928,0.035448,0.041390,0.037513,0.036725,0.034701,0.033624
centre,24,0.087360,0.067875,14,36,2,0.047040,0.047040,0.041364,0.039279,0.037161,0.036329,0.031995,0.025482
centre,25,0.087360,0.067875,14,36,2,0.046156,0.046156,0.037622,0.033134,0.037652,0.028311,0.025775,0.022149
centre,26,0.087360,0.067875,14,36,2,0.044843,0.044843,0.039662,0.039971,0.035660,0.033400,0.027372,0.029028
centre,27,0.087360,0.067875,14,36,2,0.049686,0.049686,0.040826,0.040648,0.035228,0.030089,0.031739,0.029561
centre,28,0.087360,0.067875,14,36,2,0.049030,0.049030,0.038784,0.041875,0.039350,0.032164,0.026311,0.032638
centre,29,0.087360,0.067875,14,36,2,0.048999,0.048999,0.038097,0.035805,0.040529,0.034528,0.028483,0.025936
centre,30,0.087360,0.067875,14,36,2,0.050904,0.050904,0.041382,0.038769,0.033497,0.034675,0.034602,0.024557
centre,31,0.087360,0.067875,14,36,2,0.049972,0.049972,0.040574,0.040498,0.038078,0.032573,0.021714,0.029113
centre,32,0.087360,0.067875,14,36,2,0.051150,0.051150,0.032623,0.034155,0.035692,0.028160,0.024546,0.027510
centre,33,0.087360,0.067875,14,36,2,0.046558,0.046558,0.041012,0.041654,0.036972,0.035415,0.033409,0.027594
centre,34,0.087360,0.067875,14,36,2,0.046242,0.046242,0.041692,0.032787,0.032283,0.030731,0.027002,0.026176
centre,35,0.087360,0.067875,14,36,2,0.049686,0.049686,0.037418,0.041337,0.032789,0.036384,0.030170,0.027155
centre,36,0.087360,0.067875,14,36,2,0.051150,0.051150,0.039106,0.039699,0.028982,0.031441,0.029395,0.030250
centre,37,0.087360,0.067875,14,36,2,0.049367,0.049367,0.030862,0.038398,0.037654,0.025224,0.028840,0.020227
centre,38,0.087360,0.067875,14,36,2,0.050240,0.050240,0.038930,0.040715,0.038314,0.037695,0.036182,0.025517
centre,39,0.087360,0.067875,14,36,2,0.051027,0.051027,0.036384,0.042359,0.037571,0.035027,0.020655,0.024267
centre,40,0.087360,0.067875,14,36,2,0.051035,0.051035,0.039478,0.038249,0.030855,0.038819,0.031033,0.025973
centre,41,0.087360,0.067875,14,36,2,0.045990,0.045990,0.042481,0.040392,0.038580,0.035884,0.033802,0.024850
centre,42,0.087360,0.067875,14,36,2,0.051793,0.051793,0.034134,0.041095,0.037924,0.033060,0.031577,0.032779
centre,43,0.087360,0.067875,14,36,2,0.051551,0.051551,0.039618,0.037718,0.033869,0.032028,0.030204,0.026319
centre,44,0.087360,0.067875,14,36,2,0.051234,0.051234,0.032717,0.039944,0.036340,0.038405,0.027252,0.024215
centre,45,0.087360,0.067875,14,36,2,0.046360,0.046360,0.039127,0.041802,0.038383,0.035697,0.034353,0.029108
centre,46,0.087360,0.067875,14,36,2,0.050672,0.050672,0.040190,0.041211,0.038373,0.035636,0.026744,0.031151
centre,47,0.087360,0.067875,14,36,2,0.048259,0.048259,0.042857,0.032498,0.038936,0.032953,0.031666,0.026082
centre,48,0.087360,0.067875,14,36,2,0.050684,0.050684,0.034866,0.042068,0.030020,0.027933,0.035460,0.025645
centre,49,0.087360,0.067875,14,36,2,0.051594,0.051594,0.034477,0.040154,0.037229,0.030690,0.036264,0.016089
centre,50,0.087360,0.067875,14,36,2,0.046269,0.046269,0.043236,0.035027,0.038907,0.036057,0.022906,0.025371
centre,51,0.087360,0.067875,14,36,2,0.045024,0.045024,0.038777,0.031626,0.030556,0.029739,0.032590,0.025311
centre,52,0.087360,0.067875,14,36,2,0.046322,0.046322,0.039271,0.032651,0.034805,0.031709,0.022708,0.026486
centre,53,0.087360,0.067875,14,36,2,0.050391,0.050391,0.038706,0.037131,0.039199,0.026902,0.028667,0.023528
centre,54,0.087360,0.067875,14,36,2,0.044591,0.044591,0.039402,0.036892,0.033173,0.033161,0.028979,0.030251
centre,55,0.087360,0.067875,14,36,2,0.046438,0.046438,0.036884,0.039177,0.038405,0.030982,0.029338,0.028780
centre,56,0.087360,0.067875,14,36,2,0.050878,0.050878,0.040630,0.034734,0.036592,0.033086,0.031184,0.026784
centre,57,0.087360,0.067875,14,36,2,0.051540,0.051540,0.038480,0.040517,0.037820,0.033954,0.029782,0.029649
centre,58,0.087360,0.067875,14,36,2,0.046156,0.046156,0.034733,0.035468,0.038326,0.029765,0.026095,0.023931
centre,59,0.087360,0.067875,14,36,2,0.046970,0.046970,0.041199,0.039399,0.036689,0.035566,0.035768,0.019669
centre,60,0.087360,0.067875,14,36,2,0.046970,0.046970,0.036203,0.036121,0.036110,0.036568,0.029940,0.030737
centre,61,0.087360,0.067875,14,36,2,0.045996,0.045996,0.041321,0.039095,0.030502,0.030698,0.029088,0.029022
centre,62,0.087360,0.067875,14,36,2,0.050878,0.050878,0.038057,0.043957,0.032766,0.036124,0.027532,0.033195
centre,63,0.087360,0.067875,14,36,2,0.050904,0.050904,0.038688,0.037190,0.040493,0.031393,0.031808,0.023612
centre,64,0.087360,0.067875,14,36,2,0.049686,0.049686,0.039634,0.041564,0.037527,0.035533,0.024518,0.029556
centre,65,0.087360,0.067875,14,36,2,0.047152,0.047152,0.036705,0.039304,0.035751,0.031367,0.023577,0.029306
centre,66,0.087360,0.067875,14,36,2,0.049150,0.049150,0.041533,0.034748,0.036386,0.035697,0.031260,0.029645
centre,67,0.087360,0.067875,14,36,2,0.049686,0.049686,0.039991,0.041217,0.037414,0.034759,0.032810,0.029875
centre,68,0.087360,0.067875,14,36,2,0.051486,0.051486,0.036194,0.037602,0.034963,0.035623,0.034896,0.026865
centre,69,0.087360,0.067875,14,36,2,0.050652,0.050652,0.036983,0.038477,0.037363,0.025394,0.029850,0.027999
centre,70,0.087360,0.067875,14,36,2,0.047486,0.047486,0.040378,0.042326,0.033892,0.036389,0.029676,0.032159
centre,71,0.087360,0.067875,14,36,2,0.049686,0.049686,0.040349,0.039304,0.034379,0.031113,0.030745,0.029663
centre,72,0.087360,0.067875,14,36,2,0.050684,0.050684,0.036302,0.038800,0.039312,0.031697,0.028851,0.019527
centre,73,0.087360,0.067875,14,36,2,0.050503,0.050503,0.040074,0.041754,0.035231,0.030791,0.035730,0.028064
centre,74,0.087360,0.067875,14,36,2,0.050707,0.050707,0.040746,0.034346,0.034698,0.036650,0.029551,0.031295
centre,75,0.087360,0.067875,14,36,2,0.051027,0.051027,0.042328,0.040258,0.035560,0.032129,0.029367,0.024145
centre,76,0.087360,0.067875,14,36,2,0.049817,0.049817,0.041344,0.040241,0.037909,0.040385,0.029307,0.027398
centre,77,0.087360,0.067875,14,36,2,0.048734,0.048734,0.038807,0.036759,0.037562,0.028765,0.031375,0.030851
centre,78,0.087360,0.067875,14,36,2,0.050291,0.050291,0.034244,0.032613,0.033307,0.026533,0.026664,0.028304
centre,79,0.087360,0.067875,14,36,2,0.050878,0.050878,0.039413,0.035016,0.038078,0.026846,0.029442,0.027491
centre,80,0.087360,0.067875,14,36,2,0.046464,0.046464,0.040501,0.037200,0.030312,0.036773,0.028356,0.019485
centre,81,0.087360,0.067875,14,36,2,0.045193,0.045193,0.038379,0.037301,0.035430,0.032151,0.032994,0.036355
centre,82,0.087360,0.067875,14,36,2,0.052486,0.052486,0.031888,0.040737,0.041444,0.026388,0.031486,0.025530
centre,83,0.087360,0.067875,14,36,2,0.050867,0.050867,0.041170,0.041160,0.030872,0.030480,0.031247,0.029402
centre,84,0.087360,0.067875,14,36,2,0.051724,0.051724,0.037534,0.039105,0.037726,0.036833,0.023245,0.027933
centre,85,0.087360,0.067875,14,36,2,0.048734,0.048734,0.036117,0.041386,0.040124,0.033344,0.034211,0.032750
centre,86,0.087360,0.067875,14,36,2,0.049380,0.049380,0.039201,0.035501,0.036614,0.036295,0.034782,0.033090
centre,87,0.087360,0.067875,14,36,2,0.044762,0.044762,0.038204,0.036121,0.033582,0.034382,0.026095,0.030278
centre,88,0.087360,0.067875,14,36,2,0.049932,0.049932,0.044233,0.037948,0.035531,0.036064,0.028669,0.030023
centre,89,0.087360,0.067875,14,36,2,0.050668,0.050668,0.036109,0.040091,0.033238,0.031289,0.027887,0.026888
centre,90,0.087360,0.067875,14,36,2,0.047082,0.047082,0.038654,0.039360,0.039447,0.033364,0.027186,0.026465
centre,91,0.087360,0.067875,14,36,2,0.048259,0.048259,0.039284,0.037238,0.035746,0.038019,0.031438,0.027916
centre,92,0.087360,0.067875,14,36,2,0.051304,0.051304,0.042036,0.032528,0.032784,0.033887,0.025623,0.024760
centre,93,0.087360,0.067875,14,36,2,0.046687,0.046687,0.037209,0.034481,0.035327,0.033436,0.032563,0.023320
centre,94,0.087360,0.067875,14,36,2,0.046264,0.046264,0.039212,0.039811,0.035571,0.028849,0.038787,0.026445
centre,95,0.087360,0.067875,14,36,2,0.047674,0.047674,0.035278,0.039134,0.041145,0.036919,0.027685,0.029875
centre,96,0.087360,0.067875,14,36,2,0.046208,0.046208,0.039233,0.040752,0.034953,0.033206,0.033997,0.034187
centre,97,0.087360,0.067875,14,36,2,0.049686,0.049686,0.039786,0.035733,0.034324,0.035002,0.022743,0.025907
centre,98,0.087360,0.067875,14,36,2,0.046751,0.046751,0.040760,0.040905,0.035856,0.034911,0.026429,0.033175
centre,99,0.087360,0.067875,14,36,2,0.050878,0.050878,0.038099,0.039790,0.033336,0.032896,0.035433,0.026110
droite,0,0.100897,0.067861,14,36,2,0.059654,0.059654,0.049735,0.043323,0.037261,0.035325,0.031955,0.036055
droite,1,0.101444,0.069569,13,36,2,0.058511,0.058511,0.050056,0.042283,0.037764,0.033117,0.030745,0.031367
droite,2,0.103809,0.070904,13,36,2,0.060558,0.060558,0.048461,0.043230,0.036205,0.036098,0.028447,0.028822
droite,3,0.101624,0.071795,13,36,2,0.056674,0.056674,0.049632,0.041510,0.036635,0.033237,0.023533,0.030989
droite,4,0.097507,0.071126,14,36,2,0.056834,0.056834,0.048496,0.040220,0.033665,0.037917,0.034848,0.026562
droite,5,0.103711,0.073699,13,36,2,0.059829,0.059829,0.052159,0.041524,0.039653,0.040937,0.029619,0.033069
droite,6,0.099616,0.070915,13,36,2,0.056952,0.056952,0.049973,0.040219,0.035036,0.030544,0.033629,0.025726
droite,7,0.103184,0.070989,13,36,2,0.059703,0.059703,0.049447,0.041649,0.035978,0.034537,0.032611,0.019172
droite,8,0.100889,0.070685,13,36,2,0.059267,0.059267,0.048704,0.040647,0.038166,0.034429,0.027775,0.029805
droite,9,0.098739,0.070288,14,36,2,0.058067,0.058067,0.049532,0.040820,0.036760,0.033421,0.022745,0.025857
droite,10,0.101634,0.071537,13,36,2,0.059996,0.059996,0.052552,0.042063,0.036582,0.033900,0.026923,0.032937
droite,11,0.098890,0.072368,13,36,2,0.056794,0.056794,0.050626,0.045741,0.040701,0.033124,0.030988,0.027509
droite,12,0.102727,0.070339,14,36,2,0.058535,0.058535,0.050756,0.038594,0.029049,0.034938,0.031440,0.028666
droite,13,0.102167,0.072719,13,36,2,0.058425,0.058425,0.051666,0.042204,0.038121,0.032780,0.030255,0.027498
droite,14,0.103254,0.069499,13,36,2,0.060320,0.060320,0.050062,0.043158,0.036020,0.029370,0.033408,0.028259
droite,15,0.103831,0.073571,13,36,2,0.060666,0.060666,0.052967,0.043148,0.037227,0.034107,0.029115,0.029312
droite,16,0.103711,0.070096,13,36,2,0.060989,0.060989,0.049766,0.041126,0.036453,0.033816,0.035562,0.022756
droite,17,0.104914,0.069610,13,36,2,0.060913,0.060913,0.051193,0.041747,0.031100,0.031945,0.030544,0.025458
droite,18,0.095549,0.070682,14,36,2,0.056419,0.056419,0.048396,0.039949,0.039909,0.029000,0.032952,0.027513
droite,19,0.101447,0.071282,13,36,2,0.058923,0.058923,0.050168,0.038427,0.038473,0.033138,0.033146,0.021044
droite,20,0.101604,0.071541,13,36,2,0.058974,0.058974,0.051161,0.043710,0.034995,0.035634,0.026360,0.031458
droite,21,0.102698,0.071029,13,36,2,0.059673,0.059673,0.048588,0.040001,0.036338,0.035816,0.028298,0.031471
droite,22,0.103423,0.069536,13,36,2,0.060630,0.060630,0.049611,0.042619,0.034077,0.033583,0.031069,0.032399
droite,23,0.103108,0.069612,13,36,2,0.059817,0.059817,0.049490,0.043161,0.036515,0.027684,0.033420,0.021965
droite,24,0.099363,0.072100,14,36,2,0.058401,0.058401,0.050414,0.041822,0.036854,0.026050,0.029231,0.026121
