jeu,camp,patrons,jeu_de_donnees
21,gauche,323,Twin-2K-500
21,centre,353,Twin-2K-500
21,droite,335,Twin-2K-500
22,gauche,511,Twin-2K-500
22,centre,538,Twin-2K-500
22,droite,545,Twin-2K-500
23,gauche,560,Twin-2K-500
23,centre,559,Twin-2K-500
23,droite,560,Twin-2K-500
24,gauche,547,Twin-2K-500
24,centre,552,Twin-2K-500
24,droite,547,Twin-2K-500
25,gauche,538,Twin-2K-500
25,centre,545,Twin-2K-500
25,droite,530,Twin-2K-500
26,gauche,540,Twin-2K-500
26,centre,553,Twin-2K-500
26,droite,557,Twin-2K-500
27,gauche,558,Twin-2K-500
27,centre,561,Twin-2K-500
27,droite,563,Twin-2K-500
28,gauche,516,Twin-2K-500
28,centre,520,Twin-2K-500
28,droite,522,Twin-2K-500
29,gauche,545,Twin-2K-500
29,centre,536,Twin-2K-500
29,droite,536,Twin-2K-500
30,gauche,534,Twin-2K-500
30,centre,550,Twin-2K-500
30,droite,543,Twin-2K-500
31,gauche,552,Twin-2K-500
31,centre,551,Twin-2K-500
31,droite,559,Twin-2K-500
32,gauche,477,Twin-2K-500
32,centre,477,Twin-2K-500
32,droite,480,Twin-2K-500
33,gauche,364,Twin-2K-500
33,centre,412,Twin-2K-500
33,droite,398,Twin-2K-500
34,gauche,480,Twin-2K-500
34,centre,509,Twin-2K-500
34,droite,501,Twin-2K-500
35,gauche,566,Twin-2K-500
35,centre,566,Twin-2K-500
35,droite,565,Twin-2K-500
36,gauche,547,Twin-2K-500
36,centre,546,Twin-2K-500
36,droite,530,Twin-2K-500
37,gauche,480,Twin-2K-500
37,centre,491,Twin-2K-500
37,droite,506,Twin-2K-500
38,gauche,526,Twin-2K-500
38,centre,524,Twin-2K-500
38,droite,538,Twin-2K-500
39,gauche,533,Twin-2K-500
39,centre,539,Twin-2K-500
39,droite,529,Twin-2K-500
40,gauche,554,Twin-2K-500
40,centre,560,Twin-2K-500
40,droite,557,Twin-2K-500
41,gauche,368,Twin-2K-500
41,centre,355,Twin-2K-500
41,droite,356,Twin-2K-500
42,gauche,526,Twin-2K-500
42,centre,517,Twin-2K-500
42,droite,506,Twin-2K-500
43,gauche,552,Twin-2K-500
43,centre,553,Twin-2K-500
43,droite,539,Twin-2K-500
44,gauche,349,Twin-2K-500
44,centre,354,Twin-2K-500
44,droite,371,Twin-2K-500
45,gauche,438,Twin-2K-500
45,centre,484,Twin-2K-500
45,droite,476,Twin-2K-500
46,gauche,484,Twin-2K-500
46,centre,481,Twin-2K-500
46,droite,462,Twin-2K-500
47,gauche,347,Twin-2K-500
47,centre,365,Twin-2K-500
47,droite,365,Twin-2K-500
48,gauche,446,Twin-2K-500
48,centre,441,Twin-2K-500
48,droite,419,Twin-2K-500
49,gauche,525,Twin-2K-500
49,centre,529,Twin-2K-500
49,droite,520,Twin-2K-500
50,gauche,418,Twin-2K-500
50,centre,427,Twin-2K-500
50,droite,404,Twin-2K-500
51,gauche,494,Twin-2K-500
51,centre,504,Twin-2K-500
51,droite,502,Twin-2K-500
52,gauche,562,Twin-2K-500
52,centre,560,Twin-2K-500
52,droite,559,Twin-2K-500
53,gauche,520,Twin-2K-500
53,centre,539,Twin-2K-500
53,droite,529,Twin-2K-500
54,gauche,410,Twin-2K-500
54,centre,415,Twin-2K-500
54,droite,403,Twin-2K-500
55,gauche,561,Twin-2K-500
55,centre,561,Twin-2K-500
55,droite,560,Twin-2K-500
56,gauche,560,Twin-2K-500
56,centre,560,Twin-2K-500
56,droite,552,Twin-2K-500
57,gauche,476,Twin-2K-500
57,centre,499,Twin-2K-500
57,droite,483,Twin-2K-500
58,gauche,550,Twin-2K-500
58,centre,533,Twin-2K-500
58,droite,530,Twin-2K-500
59,gauche,466,Twin-2K-500
59,centre,480,Twin-2K-500
59,droite,498,Twin-2K-500
60,gauche,534,Twin-2K-500
60,centre,547,Twin-2K-500
60,droite,547,Twin-2K-500
61,gauche,512,Twin-2K-500
61,centre,524,Twin-2K-500
61,droite,512,Twin-2K-500
62,gauche,559,Twin-2K-500
62,centre,562,Twin-2K-500
62,droite,559,Twin-2K-500
63,gauche,506,Twin-2K-500
63,centre,517,Twin-2K-500
63,droite,533,Twin-2K-500
64,gauche,538,Twin-2K-500
64,centre,535,Twin-2K-500
64,droite,555,Twin-2K-500
65,gauche,561,Twin-2K-500
65,centre,563,Twin-2K-500
65,droite,555,Twin-2K-500
66,gauche,564,Twin-2K-500
66,centre,566,Twin-2K-500
66,droite,564,Twin-2K-500
67,gauche,550,Twin-2K-500
67,centre,552,Twin-2K-500
67,droite,551,Twin-2K-500
68,gauche,530,Twin-2K-500
68,centre,546,Twin-2K-500
68,droite,549,Twin-2K-500
69,gauche,528,Twin-2K-500
69,centre,527,Twin-2K-500
69,droite,535,Twin-2K-500
70,gauche,507,Twin-2K-500
70,centre,515,Twin-2K-500
70,droite,530,Twin-2K-500
71,gauche,561,Twin-2K-500
71,centre,562,Twin-2K-500
71,droite,554,Twin-2K-500
72,gauche,565,Twin-2K-500
72,centre,562,Twin-2K-500
72,droite,561,Twin-2K-500
73,gauche,542,Twin-2K-500
73,centre,549,Twin-2K-500
73,droite,550,Twin-2K-500
74,gauche,431,Twin-2K-500
74,centre,434,Twin-2K-500
74,droite,439,Twin-2K-500
75,gauche,546,Twin-2K-500
75,centre,554,Twin-2K-500
75,droite,542,Twin-2K-500
76,gauche,562,Twin-2K-500
76,centre,563,Twin-2K-500
76,droite,563,Twin-2K-500
77,gauche,552,Twin-2K-500
77,centre,559,Twin-2K-500
77,droite,564,Twin-2K-500
78,gauche,421,Twin-2K-500
78,centre,414,Twin-2K-500
78,droite,415,Twin-2K-500
79,gauche,567,Twin-2K-500
79,centre,563,Twin-2K-500
79,droite,564,Twin-2K-500
80,gauche,537,Twin-2K-500
80,centre,548,Twin-2K-500
80,droite,552,Twin-2K-500
81,gauche,547,Twin-2K-500
81,centre,556,Twin-2K-500
81,droite,553,Twin-2K-500
82,gauche,500,Twin-2K-500
82,centre,522,Twin-2K-500
82,droite,504,Twin-2K-500
83,gauche,563,Twin-2K-500
83,centre,556,Twin-2K-500
83,droite,562,Twin-2K-500
84,gauche,535,Twin-2K-500
84,centre,535,Twin-2K-500
84,droite,531,Twin-2K-500
85,gauche,559,Twin-2K-500
85,centre,558,Twin-2K-500
85,droite,556,Twin-2K-500
86,gauche,502,Twin-2K-500
86,centre,498,Twin-2K-500
86,droite,476,Twin-2K-500
87,gauche,565,Twin-2K-500
87,centre,559,Twin-2K-500
87,droite,559,Twin-2K-500
88,gauche,484,Twin-2K-500
88,centre,466,Twin-2K-500
88,droite,483,Twin-2K-500
89,gauche,492,Twin-2K-500
89,centre,501,Twin-2K-500
89,droite,505,Twin-2K-500
90,gauche,367,Twin-2K-500
90,centre,442,Twin-2K-500
90,droite,440,Twin-2K-500
91,gauche,526,Twin-2K-500
91,centre,528,Twin-2K-500
91,droite,521,Twin-2K-500
92,gauche,472,Twin-2K-500
92,centre,489,Twin-2K-500
92,droite,506,Twin-2K-500
93,gauche,558,Twin-2K-500
93,centre,562,Twin-2K-500
93,droite,564,Twin-2K-500
94,gauche,529,Twin-2K-500
94,centre,537,Twin-2K-500
94,droite,543,Twin-2K-500
95,gauche,469,Twin-2K-500
95,centre,455,Twin-2K-500
95,droite,448,Twin-2K-500
96,gauche,555,Twin-2K-500
96,centre,545,Twin-2K-500
96,droite,541,Twin-2K-500
97,gauche,554,Twin-2K-500
97,centre,549,Twin-2K-500
97,droite,549,Twin-2K-500
98,gauche,428,Twin-2K-500
98,centre,468,Twin-2K-500
98,droite,498,Twin-2K-500
99,gauche,555,Twin-2K-500
99,centre,562,Twin-2K-500
99,droite,565,Twin-2K-500
100,gauche,427,Twin-2K-500
100,centre,460,Twin-2K-500
100,droite,465,Twin-2K-500
101,gauche,511,Twin-2K-500
101,centre,542,Twin-2K-500
101,droite,545,Twin-2K-500
102,gauche,524,Twin-2K-500
102,centre,545,Twin-2K-500
102,droite,546,Twin-2K-500
103,gauche,563,Twin-2K-500
103,centre,565,Twin-2K-500
103,droite,565,Twin-2K-500
104,gauche,561,Twin-2K-500
104,centre,559,Twin-2K-500
104,droite,553,Twin-2K-500
105,gauche,493,Twin-2K-500
105,centre,505,Twin-2K-500
105,droite,497,Twin-2K-500
106,gauche,549,Twin-2K-500
106,centre,550,Twin-2K-500
106,droite,543,Twin-2K-500
107,gauche,355,Twin-2K-500
107,centre,346,Twin-2K-500
107,droite,348,Twin-2K-500
108,gauche,509,Twin-2K-500
108,centre,520,Twin-2K-500
108,droite,489,Twin-2K-500
109,gauche,560,Twin-2K-500
109,centre,552,Twin-2K-500
109,droite,552,Twin-2K-500
110,gauche,489,Twin-2K-500
110,centre,505,Twin-2K-500
110,droite,514,Twin-2K-500
111,gauche,484,Twin-2K-500
111,centre,474,Twin-2K-500
111,droite,422,Twin-2K-500
112,gauche,563,Twin-2K-500
112,centre,567,Twin-2K-500
112,droite,567,Twin-2K-500
113,gauche,553,Twin-2K-500
113,centre,563,Twin-2K-500
113,droite,560,Twin-2K-500
114,gauche,493,Twin-2K-500
114,centre,488,Twin-2K-500
114,droite,515,Twin-2K-500
115,gauche,548,Twin-2K-500
115,centre,552,Twin-2K-500
115,droite,552,Twin-2K-500
116,gauche,562,Twin-2K-500
116,centre,564,Twin-2K-500
116,droite,566,Twin-2K-500
117,gauche,556,Twin-2K-500
117,centre,556,Twin-2K-500
117,droite,558,Twin-2K-500
118,gauche,562,Twin-2K-500
118,centre,561,Twin-2K-500
118,droite,565,Twin-2K-500
119,gauche,540,Twin-2K-500
119,centre,537,Twin-2K-500
119,droite,533,Twin-2K-500
120,gauche,554,Twin-2K-500
120,centre,559,Twin-2K-500
120,droite,559,Twin-2K-500
121,gauche,322,Twin-2K-500
121,centre,343,Twin-2K-500
121,droite,330,Twin-2K-500
122,gauche,550,Twin-2K-500
122,centre,552,Twin-2K-500
122,droite,545,Twin-2K-500
123,gauche,562,Twin-2K-500
123,centre,563,Twin-2K-500
123,droite,565,Twin-2K-500
124,gauche,560,Twin-2K-500
124,centre,562,Twin-2K-500
124,droite,563,Twin-2K-500
125,gauche,566,Twin-2K-500
125,centre,563,Twin-2K-500
125,droite,565,Twin-2K-500
126,gauche,527,Twin-2K-500
126,centre,521,Twin-2K-500
126,droite,513,Twin-2K-500
127,gauche,521,Twin-2K-500
127,centre,533,Twin-2K-500
127,droite,516,Twin-2K-500
128,gauche,527,Twin-2K-500
128,centre,544,Twin-2K-500
128,droite,543,Twin-2K-500
129,gauche,495,Twin-2K-500
129,centre,494,Twin-2K-500
129,droite,471,Twin-2K-500
130,gauche,450,Twin-2K-500
130,centre,470,Twin-2K-500
130,droite,462,Twin-2K-500
131,gauche,543,Twin-2K-500
131,centre,551,Twin-2K-500
131,droite,547,Twin-2K-500
132,gauche,559,Twin-2K-500
132,centre,562,Twin-2K-500
132,droite,563,Twin-2K-500
133,gauche,546,Twin-2K-500
133,centre,554,Twin-2K-500
133,droite,558,Twin-2K-500
134,gauche,553,Twin-2K-500
134,centre,551,Twin-2K-500
134,droite,543,Twin-2K-500
135,gauche,532,Twin-2K-500
135,centre,543,Twin-2K-500
135,droite,531,Twin-2K-500
136,gauche,546,Twin-2K-500
136,centre,553,Twin-2K-500
136,droite,538,Twin-2K-500
137,gauche,546,Twin-2K-500
137,centre,554,Twin-2K-500
137,droite,553,Twin-2K-500
138,gauche,450,Twin-2K-500
138,centre,441,Twin-2K-500
138,droite,419,Twin-2K-500
139,gauche,564,Twin-2K-500
139,centre,567,Twin-2K-500
139,droite,565,Twin-2K-500
140,gauche,535,Twin-2K-500
140,centre,529,Twin-2K-500
140,droite,531,Twin-2K-500
141,gauche,379,Twin-2K-500
141,centre,407,Twin-2K-500
141,droite,418,Twin-2K-500
142,gauche,550,Twin-2K-500
142,centre,553,Twin-2K-500
142,droite,555,Twin-2K-500
143,gauche,556,Twin-2K-500
143,centre,551,Twin-2K-500
143,droite,551,Twin-2K-500
144,gauche,540,Twin-2K-500
144,centre,539,Twin-2K-500
144,droite,539,Twin-2K-500
145,gauche,509,Twin-2K-500
145,centre,507,Twin-2K-500
145,droite,484,Twin-2K-500
146,gauche,284,Twin-2K-500
146,centre,341,Twin-2K-500
146,droite,367,Twin-2K-500
147,gauche,493,Twin-2K-500
147,centre,498,Twin-2K-500
147,droite,492,Twin-2K-500
148,gauche,521,Twin-2K-500
148,centre,537,Twin-2K-500
148,droite,538,Twin-2K-500
149,gauche,506,Twin-2K-500
149,centre,520,Twin-2K-500
149,droite,517,Twin-2K-500
150,gauche,567,Twin-2K-500
150,centre,565,Twin-2K-500
150,droite,566,Twin-2K-500
151,gauche,480,Twin-2K-500
151,centre,494,Twin-2K-500
151,droite,483,Twin-2K-500
152,gauche,555,Twin-2K-500
152,centre,555,Twin-2K-500
152,droite,556,Twin-2K-500
153,gauche,556,Twin-2K-500
153,centre,557,Twin-2K-500
153,droite,558,Twin-2K-500
154,gauche,497,Twin-2K-500
154,centre,497,Twin-2K-500
154,droite,483,Twin-2K-500
155,gauche,402,Twin-2K-500
155,centre,432,Twin-2K-500
155,droite,449,Twin-2K-500
156,gauche,537,Twin-2K-500
156,centre,550,Twin-2K-500
156,droite,551,Twin-2K-500
157,gauche,560,Twin-2K-500
157,centre,560,Twin-2K-500
157,droite,562,Twin-2K-500
158,gauche,541,Twin-2K-500
158,centre,551,Twin-2K-500
158,droite,542,Twin-2K-500
159,gauche,561,Twin-2K-500
159,centre,549,Twin-2K-500
159,droite,540,Twin-2K-500
160,gauche,519,Twin-2K-500
160,centre,508,Twin-2K-500
160,droite,509,Twin-2K-500
161,gauche,546,Twin-2K-500
161,centre,538,Twin-2K-500
161,droite,539,Twin-2K-500
162,gauche,453,Twin-2K-500
162,centre,465,Twin-2K-500
162,droite,464,Twin-2K-500
163,gauche,524,Twin-2K-500
163,centre,533,Twin-2K-500
163,droite,523,Twin-2K-500
164,gauche,529,Twin-2K-500
164,centre,543,Twin-2K-500
164,droite,528,Twin-2K-500
165,gauche,329,Twin-2K-500
165,centre,331,Twin-2K-500
165,droite,351,Twin-2K-500
166,gauche,563,Twin-2K-500
166,centre,565,Twin-2K-500
166,droite,562,Twin-2K-500
167,gauche,557,Twin-2K-500
167,centre,560,Twin-2K-500
167,droite,560,Twin-2K-500
168,gauche,546,Twin-2K-500
168,centre,540,Twin-2K-500
168,droite,549,Twin-2K-500
169,gauche,473,Twin-2K-500
169,centre,479,Twin-2K-500
169,droite,494,Twin-2K-500
170,gauche,559,Twin-2K-500
170,centre,552,Twin-2K-500
170,droite,553,Twin-2K-500
171,gauche,526,Twin-2K-500
171,centre,527,Twin-2K-500
171,droite,535,Twin-2K-500
172,gauche,409,Twin-2K-500
172,centre,392,Twin-2K-500
172,droite,400,Twin-2K-500
173,gauche,548,Twin-2K-500
173,centre,548,Twin-2K-500
173,droite,524,Twin-2K-500
174,gauche,564,Twin-2K-500
174,centre,567,Twin-2K-500
174,droite,565,Twin-2K-500
175,gauche,566,Twin-2K-500
175,centre,566,Twin-2K-500
175,droite,567,Twin-2K-500
176,gauche,377,Twin-2K-500
176,centre,400,Twin-2K-500
176,droite,385,Twin-2K-500
177,gauche,562,Twin-2K-500
177,centre,556,Twin-2K-500
177,droite,559,Twin-2K-500
178,gauche,561,Twin-2K-500
178,centre,558,Twin-2K-500
178,droite,558,Twin-2K-500
179,gauche,558,Twin-2K-500
179,centre,565,Twin-2K-500
179,droite,560,Twin-2K-500
180,gauche,554,Twin-2K-500
180,centre,556,Twin-2K-500
180,droite,550,Twin-2K-500
181,gauche,466,Twin-2K-500
181,centre,513,Twin-2K-500
181,droite,511,Twin-2K-500
182,gauche,240,Twin-2K-500
182,centre,244,Twin-2K-500
182,droite,215,Twin-2K-500
183,gauche,557,Twin-2K-500
183,centre,561,Twin-2K-500
183,droite,552,Twin-2K-500
184,gauche,386,Twin-2K-500
184,centre,399,Twin-2K-500
184,droite,407,Twin-2K-500
185,gauche,522,Twin-2K-500
185,centre,527,Twin-2K-500
185,droite,543,Twin-2K-500
186,gauche,374,Twin-2K-500
186,centre,396,Twin-2K-500
186,droite,381,Twin-2K-500
187,gauche,466,Twin-2K-500
187,centre,452,Twin-2K-500
187,droite,458,Twin-2K-500
188,gauche,540,Twin-2K-500
188,centre,551,Twin-2K-500
188,droite,544,Twin-2K-500
189,gauche,544,Twin-2K-500
189,centre,545,Twin-2K-500
189,droite,540,Twin-2K-500
190,gauche,555,Twin-2K-500
190,centre,560,Twin-2K-500
190,droite,560,Twin-2K-500
191,gauche,469,Twin-2K-500
191,centre,490,Twin-2K-500
191,droite,463,Twin-2K-500
192,gauche,504,Twin-2K-500
192,centre,523,Twin-2K-500
192,droite,519,Twin-2K-500
193,gauche,407,Twin-2K-500
193,centre,433,Twin-2K-500
193,droite,419,Twin-2K-500
194,gauche,301,Twin-2K-500
194,centre,330,Twin-2K-500
194,droite,318,Twin-2K-500
195,gauche,554,Twin-2K-500
195,centre,553,Twin-2K-500
195,droite,546,Twin-2K-500
196,gauche,563,Twin-2K-500
196,centre,562,Twin-2K-500
196,droite,563,Twin-2K-500
197,gauche,547,Twin-2K-500
197,centre,547,Twin-2K-500
197,droite,546,Twin-2K-500
198,gauche,340,Twin-2K-500
198,centre,368,Twin-2K-500
198,droite,346,Twin-2K-500
199,gauche,544,Twin-2K-500
199,centre,563,Twin-2K-500
199,droite,566,Twin-2K-500
