item,colonne_catalogue,qid_parent,type,selecteur,n_modalites,famille,famille_analyse,experience,bras,plan,unite,bloc_B
Q198_6,QID198_6,QID198,ligne_matrice,Likert,2,Probability matching vs. maximizing - Problem 1,Probability matching,Probability matching,Problem 1,inter_sujets,U12,3
Q198_7,QID198_7,QID198,ligne_matrice,Likert,2,Probability matching vs. maximizing - Problem 1,Probability matching,Probability matching,Problem 1,inter_sujets,U12,3
Q198_8,QID198_8,QID198,ligne_matrice,Likert,2,Probability matching vs. maximizing - Problem 1,Probability matching,Probability matching,Problem 1,inter_sujets,U12,3
Q198_9,QID198_9,QID198,ligne_matrice,Likert,2,Probability matching vs. maximizing - Problem 1,Probability matching,Probability matching,Problem 1,inter_sujets,U12,3
Q198_10,QID198_10,QID198,ligne_matrice,Likert,2,Probability matching vs. maximizing - Problem 1,Probability matching,Probability matching,Problem 1,inter_sujets,U12,3
Q203_1,QID203_1,QID203,ligne_matrice,Likert,2,Probability matching vs. maximizing - Problem 2,Probability matching,Probability matching,Problem 2,inter_sujets,U12,3
Q203_2,QID203_2,QID203,ligne_matrice,Likert,2,Probability matching vs. maximizing - Problem 2,Probability matching,Probability matching,Problem 2,inter_sujets,U12,3
Q203_3,QID203_3,QID203,ligne_matrice,Likert,2,Probability matching vs. maximizing - Problem 2,Probability matching,Probability matching,Problem 2,inter_sujets,U12,3
Q203_4,QID203_4,QID203,ligne_matrice,Likert,2,Probability matching vs. maximizing - Problem 2,Probability matching,Probability matching,Problem 2,inter_sujets,U12,3
Q203_5,QID203_5,QID203,ligne_matrice,Likert,2,Probability matching vs. maximizing - Problem 2,Probability matching,Probability matching,Problem 2,inter_sujets,U12,3
Q203_6,QID203_6,QID203,ligne_matrice,Likert,2,Probability matching vs. maximizing - Problem 2,Probability matching,Probability matching,Problem 2,inter_sujets,U12,3
nonseparabilty bene _1,QID288_1,QID288,ligne_matrice,Likert,7,Non-experimental heuristics and biases,Non-experimental heuristics and biases,,,intra_sujets,U13,2
nonseparabilty bene _2,QID288_2,QID288,ligne_matrice,Likert,7,Non-experimental heuristics and biases,Non-experimental heuristics and biases,,,intra_sujets,U13,2
nonseparabilty bene _3,QID288_3,QID288,ligne_matrice,Likert,7,Non-experimental heuristics and biases,Non-experimental heuristics and biases,,,intra_sujets,U13,2
nonseparabilty bene _4,QID288_4,QID288,ligne_matrice,Likert,7,Non-experimental heuristics and biases,Non-experimental heuristics and biases,,,intra_sujets,U13,2
nonseparability ris _1,QID289_1,QID289,ligne_matrice,Likert,7,Non-experimental heuristics and biases,Non-experimental heuristics and biases,,,intra_sujets,U13,2
nonseparability ris _2,QID289_2,QID289,ligne_matrice,Likert,7,Non-experimental heuristics and biases,Non-experimental heuristics and biases,,,intra_sujets,U13,2
nonseparability ris _3,QID289_3,QID289,ligne_matrice,Likert,7,Non-experimental heuristics and biases,Non-experimental heuristics and biases,,,intra_sujets,U13,2
nonseparability ris _4,QID289_4,QID289,ligne_matrice,Likert,7,Non-experimental heuristics and biases,Non-experimental heuristics and biases,,,intra_sujets,U13,2
Omission bias ,QID291,QID291,MC,SAVR,4,Non-experimental heuristics and biases,Non-experimental heuristics and biases,,,intra_sujets,U14,1
Denominator neglect ,QID196,QID196,MC,SAVR,2,Non-experimental heuristics and biases,Non-experimental heuristics and biases,,,intra_sujets,U15,3
1_Q295,QID9_1,QID9_1,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U16,2
2_Q295,QID9_2,QID9_2,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U17,1
3_Q295,QID9_3,QID9_3,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U18,3
4_Q295,QID9_4,QID9_4,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U19,1
5_Q295,QID9_5,QID9_5,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U20,1
6_Q295,QID9_6,QID9_6,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U21,2
7_Q295,QID9_7,QID9_7,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U22,3
8_Q295,QID9_8,QID9_8,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U23,3
9_Q295,QID9_9,QID9_9,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U24,2
10_Q295,QID9_10,QID9_10,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U25,1
11_Q295,QID9_11,QID9_11,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U26,1
12_Q295,QID9_12,QID9_12,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U27,3
13_Q295,QID9_13,QID9_13,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U28,3
14_Q295,QID9_14,QID9_14,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U29,1
15_Q295,QID9_15,QID9_15,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U30,2
16_Q295,QID9_16,QID9_16,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U31,2
17_Q295,QID9_17,QID9_17,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U32,2
18_Q295,QID9_18,QID9_18,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U33,1
19_Q295,QID9_19,QID9_19,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U34,3
20_Q295,QID9_20,QID9_20,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U35,2
21_Q295,QID9_21,QID9_21,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U36,3
22_Q295,QID9_22,QID9_22,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U37,1
23_Q295,QID9_23,QID9_23,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U38,1
24_Q295,QID9_24,QID9_24,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U39,1
25_Q295,QID9_25,QID9_25,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U40,3
26_Q295,QID9_26,QID9_26,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U41,1
27_Q295,QID9_27,QID9_27,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U42,3
28_Q295,QID9_28,QID9_28,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U43,3
29_Q295,QID9_29,QID9_29,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U44,2
30_Q295,QID9_30,QID9_30,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U45,2
31_Q295,QID9_31,QID9_31,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U46,3
32_Q295,QID9_32,QID9_32,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U47,2
33_Q295,QID9_33,QID9_33,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U48,2
34_Q295,QID9_34,QID9_34,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U49,1
35_Q295,QID9_35,QID9_35,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U50,3
36_Q295,QID9_36,QID9_36,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U51,2
37_Q295,QID9_37,QID9_37,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U52,3
38_Q295,QID9_38,QID9_38,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U53,3
39_Q295,QID9_39,QID9_39,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U54,1
40_Q295,QID9_40,QID9_40,MC,SAVR,2,Product Preferences - Pricing,Product Preferences - Pricing,,,intra_sujets,U55,2
