cle,groupe,source,colonne,partition,camp,n_classes,n_dans_le_groupe,part_pourcent,ic_bas,ic_haut,note
diplome,"diplomes du superieur, licence ou plus",demographie,demo_education,parti,centre,164,48,29.26829268292683,22.842926382686063,36.64268385935166,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
diplome,"diplomes du superieur, licence ou plus",demographie,demo_education,parti,droite,367,154,41.961852861035425,37.02163028496639,47.06861201794676,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
diplome,"diplomes du superieur, licence ou plus",demographie,demo_education,parti,ensemble,1052,434,41.254752851711025,38.31692373281684,44.256219814472836,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
jeune,moins de 30 ans,demographie,demo_age,ideologie,gauche,417,132,31.654676258992804,27.375025719172896,36.26925279321751,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
jeune,moins de 30 ans,demographie,demo_age,ideologie,centre,303,79,26.072607260726073,21.45064646632538,31.293701105842146,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
jeune,moins de 30 ans,demographie,demo_age,ideologie,droite,332,51,15.36144578313253,11.880904443168392,19.634428975919654,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
jeune,moins de 30 ans,demographie,demo_age,ideologie,ensemble,1052,262,24.90494296577947,22.386066084207652,27.606432790623575,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
jeune,moins de 30 ans,demographie,demo_age,parti,gauche,496,133,26.81451612903226,23.104999947965513,30.880422633908424,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
jeune,moins de 30 ans,demographie,demo_age,parti,centre,164,59,35.97560975609756,29.028734900000252,43.56447202843703,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
jeune,moins de 30 ans,demographie,demo_age,parti,droite,367,63,17.166212534059945,13.653319039864614,21.359365621187436,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
jeune,moins de 30 ans,demographie,demo_age,parti,ensemble,1052,262,24.90494296577947,22.386066084207652,27.606432790623575,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
rural,habitants de zone rurale,demographie,demo_neighborhood,ideologie,gauche,417,50,11.990407673860911,9.214347098880031,15.46039988430794,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
rural,habitants de zone rurale,demographie,demo_neighborhood,ideologie,centre,303,58,19.141914191419144,15.109297385070564,23.94720603558687,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
rural,habitants de zone rurale,demographie,demo_neighborhood,ideologie,droite,332,76,22.89156626506024,18.69754033512652,27.70576407981195,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
rural,habitants de zone rurale,demographie,demo_neighborhood,ideologie,ensemble,1052,184,17.490494296577946,15.31428034962739,19.90327501094943,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
rural,habitants de zone rurale,demographie,demo_neighborhood,parti,gauche,496,70,14.112903225806452,11.324088336637478,17.453348355306535,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
rural,habitants de zone rurale,demographie,demo_neighborhood,parti,centre,164,26,15.853658536585366,11.054494493842476,22.21592237539614,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
rural,habitants de zone rurale,demographie,demo_neighborhood,parti,droite,367,84,22.888283378746593,18.884012841582205,27.454262044514717,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
rural,habitants de zone rurale,demographie,demo_neighborhood,parti,ensemble,1052,184,17.490494296577946,15.31428034962739,19.90327501094943,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
urbain,habitants de zone urbaine,demographie,demo_neighborhood,ideologie,gauche,417,114,27.33812949640288,23.28169170843687,31.808299395104235,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
urbain,habitants de zone urbaine,demographie,demo_neighborhood,ideologie,centre,303,91,30.033003300330034,25.14775351725693,35.41821928434494,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
urbain,habitants de zone urbaine,demographie,demo_neighborhood,ideologie,droite,332,64,19.27710843373494,15.394941420216737,23.86213691671353,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
urbain,habitants de zone urbaine,demographie,demo_neighborhood,ideologie,ensemble,1052,269,25.570342205323193,23.026259675540086,28.2921956685191,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
urbain,habitants de zone urbaine,demographie,demo_neighborhood,parti,gauche,496,132,26.612903225806452,22.91415737578889,30.671138445927426,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
urbain,habitants de zone urbaine,demographie,demo_neighborhood,parti,centre,164,43,26.21951219512195,20.087481739665115,33.44013000855463,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
urbain,habitants de zone urbaine,demographie,demo_neighborhood,parti,droite,367,86,23.43324250681199,19.388476122820986,28.028426403756395,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
urbain,habitants de zone urbaine,demographie,demo_neighborhood,parti,ensemble,1052,269,25.570342205323193,23.026259675540086,28.2921956685191,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
bas_revenu,revenu du foyer sous 25 000 dollars,demographie,demo_income,ideologie,gauche,417,62,14.86810551558753,11.774554924286937,18.603050331467244,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
bas_revenu,revenu du foyer sous 25 000 dollars,demographie,demo_income,ideologie,centre,303,57,18.81188118811881,14.81213481997643,23.592566498228145,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
bas_revenu,revenu du foyer sous 25 000 dollars,demographie,demo_income,ideologie,droite,332,45,13.55421686746988,10.286464873682162,17.655755506401782,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
bas_revenu,revenu du foyer sous 25 000 dollars,demographie,demo_income,ideologie,ensemble,1052,164,15.5893536121673,13.522864160525893,17.9062441451139,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
bas_revenu,revenu du foyer sous 25 000 dollars,demographie,demo_income,parti,gauche,496,80,16.129032258064516,13.1544538617089,19.624250431811287,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
bas_revenu,revenu du foyer sous 25 000 dollars,demographie,demo_income,parti,centre,164,34,20.73170731707317,15.232121293449271,27.57109316589811,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
bas_revenu,revenu du foyer sous 25 000 dollars,demographie,demo_income,parti,droite,367,37,10.08174386920981,7.4030307641942015,13.587494570611819,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
bas_revenu,revenu du foyer sous 25 000 dollars,demographie,demo_income,parti,ensemble,1052,164,15.5893536121673,13.522864160525893,17.9062441451139,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
cent_mille,revenu du foyer a 100 000 dollars ou plus,demographie,demo_income,ideologie,gauche,417,81,19.424460431654676,15.913439885032316,23.493690968951704,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
cent_mille,revenu du foyer a 100 000 dollars ou plus,demographie,demo_income,ideologie,centre,303,33,10.891089108910892,7.860762724061174,14.900688135274716,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
cent_mille,revenu du foyer a 100 000 dollars ou plus,demographie,demo_income,ideologie,droite,332,64,19.27710843373494,15.394941420216737,23.86213691671353,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
cent_mille,revenu du foyer a 100 000 dollars ou plus,demographie,demo_income,ideologie,ensemble,1052,178,16.920152091254753,14.775757730078688,19.305263514017025,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
cent_mille,revenu du foyer a 100 000 dollars ou plus,demographie,demo_income,parti,gauche,496,82,16.532258064516128,13.522729940343964,20.056227873491462,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
cent_mille,revenu du foyer a 100 000 dollars ou plus,demographie,demo_income,parti,centre,164,16,9.75609756097561,6.094644196394342,15.259775685208313,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
cent_mille,revenu du foyer a 100 000 dollars ou plus,demographie,demo_income,parti,droite,367,79,21.525885558583106,17.62729572042339,26.014410064472365,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
cent_mille,revenu du foyer a 100 000 dollars ou plus,demographie,demo_income,parti,ensemble,1052,178,16.920152091254753,14.775757730078688,19.305263514017025,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
arme,possesseurs d'une arme a feu,"item du GSS, dans les 149",owngun,ideologie,gauche,417,81,19.424460431654676,15.913439885032316,23.493690968951704,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
arme,possesseurs d'une arme a feu,"item du GSS, dans les 149",owngun,ideologie,centre,303,84,27.722772277227723,22.98530022614961,33.018057858282226,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
arme,possesseurs d'une arme a feu,"item du GSS, dans les 149",owngun,ideologie,droite,332,134,40.36144578313253,35.22324231617455,45.72015480913692,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
arme,possesseurs d'une arme a feu,"item du GSS, dans les 149",owngun,ideologie,ensemble,1052,299,28.422053231939163,25.778771943666,31.222353982798733,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
arme,possesseurs d'une arme a feu,"item du GSS, dans les 149",owngun,parti,gauche,496,97,19.556451612903224,16.3053596939201,23.275499522279596,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
arme,possesseurs d'une arme a feu,"item du GSS, dans les 149",owngun,parti,centre,164,43,26.21951219512195,20.087481739665115,33.44013000855463,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
arme,possesseurs d'une arme a feu,"item du GSS, dans les 149",owngun,parti,droite,367,153,41.689373297002724,36.756520966326676,46.794407516346254,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
arme,possesseurs d'une arme a feu,"item du GSS, dans les 149",owngun,parti,ensemble,1052,299,28.422053231939163,25.778771943666,31.222353982798733,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
fonction_publique,employes du secteur public,"item du GSS, dans les 149",wrkgovt1,ideologie,gauche,417,66,15.827338129496402,12.638079948210862,19.640478065065388,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
fonction_publique,employes du secteur public,"item du GSS, dans les 149",wrkgovt1,ideologie,centre,303,46,15.181518151815181,11.578694419327915,19.65618377189518,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
fonction_publique,employes du secteur public,"item du GSS, dans les 149",wrkgovt1,ideologie,droite,332,55,16.566265060240966,12.954120634449302,20.943288143974815,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
fonction_publique,employes du secteur public,"item du GSS, dans les 149",wrkgovt1,ideologie,ensemble,1052,167,15.874524714828897,13.790892955110607,18.206482408769737,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
fonction_publique,employes du secteur public,"item du GSS, dans les 149",wrkgovt1,parti,gauche,496,87,17.54032258064516,14.44636890498101,21.133222709642506,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
fonction_publique,employes du secteur public,"item du GSS, dans les 149",wrkgovt1,parti,centre,164,25,15.24390243902439,10.543523002808428,21.53529416766659,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
fonction_publique,employes du secteur public,"item du GSS, dans les 149",wrkgovt1,parti,droite,367,53,14.44141689373297,11.213204494260538,18.406341964389195,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
fonction_publique,employes du secteur public,"item du GSS, dans les 149",wrkgovt1,parti,ensemble,1052,167,15.874524714828897,13.790892955110607,18.206482408769737,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
chasseur,chasseurs,"item du GSS, dans les 149",hunt1,ideologie,gauche,417,10,2.3980815347721824,1.3076906562167248,4.357528751750547,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
chasseur,chasseurs,"item du GSS, dans les 149",hunt1,ideologie,centre,303,22,7.260726072607261,4.8434263370706585,10.748201395283754,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
chasseur,chasseurs,"item du GSS, dans les 149",hunt1,ideologie,droite,332,50,15.060240963855422,11.61383101068187,19.305983568572163,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
chasseur,chasseurs,"item du GSS, dans les 149",hunt1,ideologie,ensemble,1052,82,7.79467680608365,6.323874559614301,9.57260082078367,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
chasseur,chasseurs,"item du GSS, dans les 149",hunt1,parti,gauche,496,14,2.8225806451612905,1.688649229118504,4.6816888939989,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
chasseur,chasseurs,"item du GSS, dans les 149",hunt1,parti,centre,164,14,8.536585365853659,5.1530066586361185,13.818213825439345,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
chasseur,chasseurs,"item du GSS, dans les 149",hunt1,parti,droite,367,52,14.168937329700272,10.97137902775949,18.108853610650012,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
chasseur,chasseurs,"item du GSS, dans les 149",hunt1,parti,ensemble,1052,82,7.79467680608365,6.323874559614301,9.57260082078367,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
jamais_office,n'assistant jamais a un office religieux,"item du GSS, dans les 149",attend,ideologie,gauche,417,225,53.9568345323741,49.158433707404306,58.682996417374234,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
jamais_office,n'assistant jamais a un office religieux,"item du GSS, dans les 149",attend,ideologie,centre,303,152,50.165016501650165,44.56838170327263,55.757519347953796,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
jamais_office,n'assistant jamais a un office religieux,"item du GSS, dans les 149",attend,ideologie,droite,332,106,31.927710843373493,27.14408669333591,37.12478291662307,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
jamais_office,n'assistant jamais a un office religieux,"item du GSS, dans les 149",attend,ideologie,ensemble,1052,483,45.91254752851711,42.921509500638166,48.933329331247236,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
jamais_office,n'assistant jamais a un office religieux,"item du GSS, dans les 149",attend,parti,gauche,496,253,51.00806451612903,46.61781339762177,55.382820403166335,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
jamais_office,n'assistant jamais a un office religieux,"item du GSS, dans les 149",attend,parti,centre,164,85,51.829268292682926,44.22791667168089,59.3468824246099,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
jamais_office,n'assistant jamais a un office religieux,"item du GSS, dans les 149",attend,parti,droite,367,132,35.967302452316076,31.22604508825553,40.99929316937252,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
jamais_office,n'assistant jamais a un office religieux,"item du GSS, dans les 149",attend,parti,ensemble,1052,483,45.91254752851711,42.921509500638166,48.933329331247236,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
classe_ouvriere,se declarant de la classe ouvriere,"item du GSS, dans les 149",class,ideologie,gauche,417,169,40.52757793764988,35.92263287738173,45.30545864208783,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
classe_ouvriere,se declarant de la classe ouvriere,"item du GSS, dans les 149",class,ideologie,centre,303,120,39.603960396039604,34.2602365767881,45.20799719594677,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
classe_ouvriere,se declarant de la classe ouvriere,"item du GSS, dans les 149",class,ideologie,droite,332,133,40.06024096385542,34.93183942375565,45.416038861721795,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
classe_ouvriere,se declarant de la classe ouvriere,"item du GSS, dans les 149",class,ideologie,ensemble,1052,422,40.11406844106464,37.19338990086498,43.10668541346248,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
classe_ouvriere,se declarant de la classe ouvriere,"item du GSS, dans les 149",class,parti,gauche,496,197,39.71774193548387,35.50633994028756,44.08719529167392,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
classe_ouvriere,se declarant de la classe ouvriere,"item du GSS, dans les 149",class,parti,centre,164,63,38.41463414634146,31.316457467066,46.043148256425674,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
classe_ouvriere,se declarant de la classe ouvriere,"item du GSS, dans les 149",class,parti,droite,367,153,41.689373297002724,36.756520966326676,46.794407516346254,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
classe_ouvriere,se declarant de la classe ouvriere,"item du GSS, dans les 149",class,parti,ensemble,1052,422,40.11406844106464,37.19338990086498,43.10668541346248,aucun appel de modele n'existe pour ce groupe ; il faut une question de composition directe
