item_ordre,item_as,groupe,parti_as,camp,cle_modele,modele,ancrage,identite,realite_ahler_sood_anes2012,realite_gss2024,croyance_humaine,croyance_modele,ecart_humain_moins_reel_as_points,ecart_modele_moins_reel_as_points,ecart_modele_moins_reel_gss_points,ecart_modele_moins_humain_points,exageration_humaine_ratio_as,exageration_modele_ratio_as,exageration_modele_ratio_gss,rapport_des_exagerations_base_propre,rapport_des_exagerations_cible_commune
0,dem_black,Black,Democratic,gauche,q4,Qwen3-4B-Instruct-2507,parti,adversaire,24.0,18.75,41.805,37.0,17.805,13.0,18.25,-4.805,1.741875,1.5416666666666667,1.9733333333333336,1.1328788422437508,0.8850615955029303
0,dem_black,Black,Democratic,gauche,q4,Qwen3-4B-Instruct-2507,parti,journaliste,24.0,18.75,41.805,37.0,17.805,13.0,18.25,-4.805,1.741875,1.5416666666666667,1.9733333333333336,1.1328788422437508,0.8850615955029303
1,dem_union,Union,Democratic,gauche,oss20,gpt-oss-20b,ideologie,adversaire,10.5,5.515587529976019,38.783,0.0,28.283,-10.5,-5.515587529976019,-38.783,3.693619047619048,0.0,0.0,0.0,0.0
1,dem_union,Union,Democratic,gauche,oss20,gpt-oss-20b,ideologie,journaliste,10.5,5.515587529976019,38.783,30.0,28.283,19.5,24.484412470023983,-8.783000000000001,3.693619047619048,2.857142857142857,5.4391304347826095,1.4725748282808808,0.7735347961735812
1,dem_union,Union,Democratic,gauche,oss20,gpt-oss-20b,parti,adversaire,10.5,7.056451612903227,38.783,30.0,28.283,19.5,22.943548387096772,-8.783000000000001,3.693619047619048,2.857142857142857,4.251428571428571,1.1510197767062886,0.7735347961735812
1,dem_union,Union,Democratic,gauche,oss20,gpt-oss-20b,parti,journaliste,10.5,7.056451612903227,38.783,0.0,28.283,-10.5,-7.056451612903227,-38.783,3.693619047619048,0.0,0.0,0.0,0.0
1,dem_union,Union,Democratic,gauche,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,adversaire,10.5,5.515587529976019,38.783,18.0,28.283,7.5,12.484412470023981,-20.783,3.693619047619048,1.7142857142857142,3.2634782608695656,0.8835448969685284,0.4641208777041487
1,dem_union,Union,Democratic,gauche,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,journaliste,10.5,5.515587529976019,38.783,18.0,28.283,7.5,12.484412470023981,-20.783,3.693619047619048,1.7142857142857142,3.2634782608695656,0.8835448969685284,0.4641208777041487
1,dem_union,Union,Democratic,gauche,q30,Qwen3-30B-A3B-Instruct-2507,parti,adversaire,10.5,7.056451612903227,38.783,35.0,28.283,24.5,27.943548387096772,-3.7830000000000013,3.693619047619048,3.3333333333333335,4.959999999999999,1.3428564061573367,0.9024572622025114
1,dem_union,Union,Democratic,gauche,q30,Qwen3-30B-A3B-Instruct-2507,parti,journaliste,10.5,7.056451612903227,38.783,45.0,28.283,34.5,37.943548387096776,6.216999999999999,3.693619047619048,4.285714285714286,6.377142857142856,1.726529665059433,1.1603021942603715
1,dem_union,Union,Democratic,gauche,q4,Qwen3-4B-Instruct-2507,ideologie,adversaire,10.5,5.515587529976019,38.783,25.0,28.283,14.5,19.484412470023983,-13.783000000000001,3.693619047619048,2.380952380952381,4.532608695652175,1.2271456902340674,0.644612330144651
1,dem_union,Union,Democratic,gauche,q4,Qwen3-4B-Instruct-2507,ideologie,journaliste,10.5,5.515587529976019,38.783,35.0,28.283,24.5,29.484412470023983,-3.7830000000000013,3.693619047619048,3.3333333333333335,6.345652173913044,1.718003966327694,0.9024572622025114
1,dem_union,Union,Democratic,gauche,q4,Qwen3-4B-Instruct-2507,parti,adversaire,10.5,7.056451612903227,38.783,60.0,28.283,49.5,52.943548387096776,21.217,3.693619047619048,5.714285714285714,8.502857142857142,2.3020395534125773,1.5470695923471625
1,dem_union,Union,Democratic,gauche,q4,Qwen3-4B-Instruct-2507,parti,journaliste,10.5,7.056451612903227,38.783,45.0,28.283,34.5,37.943548387096776,6.216999999999999,3.693619047619048,4.285714285714286,6.377142857142856,1.726529665059433,1.1603021942603715
2,dem_aa,Atheist/Agnostic,Democratic,gauche,oss20,gpt-oss-20b,ideologie,adversaire,8.7,53.956834532374096,28.528,0.0,19.828,-8.7,-53.956834532374096,-28.528,3.279080459770115,0.0,0.0,0.0,0.0
2,dem_aa,Atheist/Agnostic,Democratic,gauche,oss20,gpt-oss-20b,ideologie,journaliste,8.7,53.956834532374096,28.528,30.0,19.828,21.3,-23.956834532374096,1.4720000000000013,3.279080459770115,3.4482758620689657,0.556,0.169559730790802,1.051598429613012
2,dem_aa,Atheist/Agnostic,Democratic,gauche,oss20,gpt-oss-20b,parti,adversaire,8.7,48.185483870967744,28.528,0.0,19.828,-8.7,-48.185483870967744,-28.528,3.279080459770115,0.0,0.0,0.0,0.0
2,dem_aa,Atheist/Agnostic,Democratic,gauche,oss20,gpt-oss-20b,parti,journaliste,8.7,48.185483870967744,28.528,0.0,19.828,-8.7,-48.185483870967744,-28.528,3.279080459770115,0.0,0.0,0.0,0.0
2,dem_aa,Atheist/Agnostic,Democratic,gauche,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,adversaire,8.7,53.956834532374096,28.528,35.0,19.828,26.3,-18.956834532374096,6.472000000000001,3.279080459770115,4.022988505747127,0.6486666666666667,0.1978196859226023,1.2268648345485138
2,dem_aa,Atheist/Agnostic,Democratic,gauche,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,journaliste,8.7,53.956834532374096,28.528,34.0,19.828,25.3,-19.956834532374096,5.472000000000001,3.279080459770115,3.9080459770114944,0.6301333333333334,0.1921676948962423,1.191811553561413
2,dem_aa,Atheist/Agnostic,Democratic,gauche,q30,Qwen3-30B-A3B-Instruct-2507,parti,adversaire,8.7,48.185483870967744,28.528,15.0,19.828,6.300000000000001,-33.185483870967744,-13.527999999999999,3.279080459770115,1.7241379310344829,0.3112970711297071,0.0949342582315077,0.5257992148065059
2,dem_aa,Atheist/Agnostic,Democratic,gauche,q30,Qwen3-30B-A3B-Instruct-2507,parti,journaliste,8.7,48.185483870967744,28.528,15.0,19.828,6.300000000000001,-33.185483870967744,-13.527999999999999,3.279080459770115,1.7241379310344829,0.3112970711297071,0.0949342582315077,0.5257992148065059
2,dem_aa,Atheist/Agnostic,Democratic,gauche,q4,Qwen3-4B-Instruct-2507,ideologie,adversaire,8.7,53.956834532374096,28.528,15.0,19.828,6.300000000000001,-38.956834532374096,-13.527999999999999,3.279080459770115,1.7241379310344829,0.278,0.084779865395401,0.5257992148065059
2,dem_aa,Atheist/Agnostic,Democratic,gauche,q4,Qwen3-4B-Instruct-2507,ideologie,journaliste,8.7,53.956834532374096,28.528,35.0,19.828,26.3,-18.956834532374096,6.472000000000001,3.279080459770115,4.022988505747127,0.6486666666666667,0.1978196859226023,1.2268648345485138
2,dem_aa,Atheist/Agnostic,Democratic,gauche,q4,Qwen3-4B-Instruct-2507,parti,adversaire,8.7,48.185483870967744,28.528,1.0,19.828,-7.699999999999999,-47.185483870967744,-27.528,3.279080459770115,0.1149425287356322,0.0207531380753138,0.0063289505487671,0.0350532809871003
2,dem_aa,Atheist/Agnostic,Democratic,gauche,q4,Qwen3-4B-Instruct-2507,parti,journaliste,8.7,48.185483870967744,28.528,12.0,19.828,3.3000000000000007,-36.185483870967744,-16.528,3.279080459770115,1.3793103448275863,0.2490376569037656,0.0759474065852061,0.4206393718452047
3,dem_lgb,LGB,Democratic,gauche,oss20,gpt-oss-20b,ideologie,adversaire,6.3,19.2090395480226,31.852,0.0,25.552,-6.3,-19.2090395480226,-31.852,5.055873015873016,0.0,0.0,0.0,0.0
3,dem_lgb,LGB,Democratic,gauche,oss20,gpt-oss-20b,ideologie,journaliste,6.3,19.2090395480226,31.852,30.0,25.552,23.7,10.790960451977401,-1.8520000000000003,5.055873015873016,4.761904761904762,1.561764705882353,0.3089010940304792,0.9418560843903052
3,dem_lgb,LGB,Democratic,gauche,oss20,gpt-oss-20b,parti,adversaire,6.3,18.581907090464547,31.852,0.0,25.552,-6.3,-18.581907090464547,-31.852,5.055873015873016,0.0,0.0,0.0,0.0
3,dem_lgb,LGB,Democratic,gauche,oss20,gpt-oss-20b,parti,journaliste,6.3,18.581907090464547,31.852,0.0,25.552,-6.3,-18.581907090464547,-31.852,5.055873015873016,0.0,0.0,0.0,0.0
3,dem_lgb,LGB,Democratic,gauche,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,adversaire,6.3,19.2090395480226,31.852,15.0,25.552,8.7,-4.209039548022599,-16.852,5.055873015873016,2.380952380952381,0.7808823529411765,0.1544505470152396,0.4709280421951525
3,dem_lgb,LGB,Democratic,gauche,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,journaliste,6.3,19.2090395480226,31.852,12.0,25.552,5.7,-7.209039548022599,-19.852,5.055873015873016,1.9047619047619049,0.6247058823529412,0.1235604376121917,0.376742433756122
3,dem_lgb,LGB,Democratic,gauche,q30,Qwen3-30B-A3B-Instruct-2507,parti,adversaire,6.3,18.581907090464547,31.852,15.0,25.552,8.7,-3.581907090464547,-16.852,5.055873015873016,2.380952380952381,0.8072368421052631,0.1596631955689802,0.4709280421951525
3,dem_lgb,LGB,Democratic,gauche,q30,Qwen3-30B-A3B-Instruct-2507,parti,journaliste,6.3,18.581907090464547,31.852,15.0,25.552,8.7,-3.581907090464547,-16.852,5.055873015873016,2.380952380952381,0.8072368421052631,0.1596631955689802,0.4709280421951525
3,dem_lgb,LGB,Democratic,gauche,q4,Qwen3-4B-Instruct-2507,ideologie,adversaire,6.3,19.2090395480226,31.852,30.0,25.552,23.7,10.790960451977401,-1.8520000000000003,5.055873015873016,4.761904761904762,1.561764705882353,0.3089010940304792,0.9418560843903052
3,dem_lgb,LGB,Democratic,gauche,q4,Qwen3-4B-Instruct-2507,ideologie,journaliste,6.3,19.2090395480226,31.852,15.0,25.552,8.7,-4.209039548022599,-16.852,5.055873015873016,2.380952380952381,0.7808823529411765,0.1544505470152396,0.4709280421951525
3,dem_lgb,LGB,Democratic,gauche,q4,Qwen3-4B-Instruct-2507,parti,adversaire,6.3,18.581907090464547,31.852,30.0,25.552,23.7,11.418092909535453,-1.8520000000000003,5.055873015873016,4.761904761904762,1.6144736842105265,0.3193263911379604,0.9418560843903052
3,dem_lgb,LGB,Democratic,gauche,q4,Qwen3-4B-Instruct-2507,parti,journaliste,6.3,18.581907090464547,31.852,15.0,25.552,8.7,-3.581907090464547,-16.852,5.055873015873016,2.380952380952381,0.8072368421052631,0.1596631955689802,0.4709280421951525
4,rep_evang,Evangelical,Republican,droite,oss20,gpt-oss-20b,ideologie,adversaire,34.3,44.87951807228915,43.079,30.0,8.779000000000003,-4.299999999999997,-14.879518072289152,-13.079,1.255947521865889,0.8746355685131196,0.6684563758389263,0.5322327280409287,0.6963949952413009
4,rep_evang,Evangelical,Republican,droite,oss20,gpt-oss-20b,ideologie,journaliste,34.3,44.87951807228915,43.079,30.0,8.779000000000003,-4.299999999999997,-14.879518072289152,-13.079,1.255947521865889,0.8746355685131196,0.6684563758389263,0.5322327280409287,0.6963949952413009
4,rep_evang,Evangelical,Republican,droite,oss20,gpt-oss-20b,parti,adversaire,34.3,39.78201634877384,43.079,30.0,8.779000000000003,-4.299999999999997,-9.782016348773837,-13.079,1.255947521865889,0.8746355685131196,0.754109589041096,0.6004308109313028,0.6963949952413009
4,rep_evang,Evangelical,Republican,droite,oss20,gpt-oss-20b,parti,journaliste,34.3,39.78201634877384,43.079,30.0,8.779000000000003,-4.299999999999997,-9.782016348773837,-13.079,1.255947521865889,0.8746355685131196,0.754109589041096,0.6004308109313028,0.6963949952413009
4,rep_evang,Evangelical,Republican,droite,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,adversaire,34.3,44.87951807228915,43.079,35.0,8.779000000000003,0.7000000000000028,-9.879518072289152,-8.079,1.255947521865889,1.020408163265306,0.7798657718120806,0.6209381827144168,0.8124608277815176
4,rep_evang,Evangelical,Republican,droite,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,journaliste,34.3,44.87951807228915,43.079,30.0,8.779000000000003,-4.299999999999997,-14.879518072289152,-13.079,1.255947521865889,0.8746355685131196,0.6684563758389263,0.5322327280409287,0.6963949952413009
4,rep_evang,Evangelical,Republican,droite,q30,Qwen3-30B-A3B-Instruct-2507,parti,adversaire,34.3,39.78201634877384,43.079,35.0,8.779000000000003,0.7000000000000028,-4.782016348773837,-8.079,1.255947521865889,1.020408163265306,0.8797945205479453,0.7005026127531865,0.8124608277815176
4,rep_evang,Evangelical,Republican,droite,q30,Qwen3-30B-A3B-Instruct-2507,parti,journaliste,34.3,39.78201634877384,43.079,35.0,8.779000000000003,0.7000000000000028,-4.782016348773837,-8.079,1.255947521865889,1.020408163265306,0.8797945205479453,0.7005026127531865,0.8124608277815176
4,rep_evang,Evangelical,Republican,droite,q4,Qwen3-4B-Instruct-2507,ideologie,adversaire,34.3,44.87951807228915,43.079,60.0,8.779000000000003,25.700000000000003,15.120481927710848,16.921,1.255947521865889,1.7492711370262393,1.3369127516778525,1.0644654560818574,1.3927899904826018
4,rep_evang,Evangelical,Republican,droite,q4,Qwen3-4B-Instruct-2507,ideologie,journaliste,34.3,44.87951807228915,43.079,60.0,8.779000000000003,25.700000000000003,15.120481927710848,16.921,1.255947521865889,1.7492711370262393,1.3369127516778525,1.0644654560818574,1.3927899904826018
4,rep_evang,Evangelical,Republican,droite,q4,Qwen3-4B-Instruct-2507,parti,adversaire,34.3,39.78201634877384,43.079,70.0,8.779000000000003,35.7,30.217983651226163,26.921,1.255947521865889,2.0408163265306123,1.7595890410958903,1.401005225506373,1.6249216555630352
4,rep_evang,Evangelical,Republican,droite,q4,Qwen3-4B-Instruct-2507,parti,journaliste,34.3,39.78201634877384,43.079,60.0,8.779000000000003,25.700000000000003,20.217983651226163,16.921,1.255947521865889,1.7492711370262393,1.508219178082192,1.2008616218626056,1.3927899904826018
5,rep_rich,$250K+ Income,Republican,droite,oss20,gpt-oss-20b,ideologie,adversaire,2.2,2.272727272727273,37.88,0.0,35.68,-2.2,-2.272727272727273,-37.88,17.21818181818182,0.0,0.0,0.0,0.0
5,rep_rich,$250K+ Income,Republican,droite,oss20,gpt-oss-20b,ideologie,journaliste,2.2,2.272727272727273,37.88,0.0,35.68,-2.2,-2.272727272727273,-37.88,17.21818181818182,0.0,0.0,0.0,0.0
5,rep_rich,$250K+ Income,Republican,droite,oss20,gpt-oss-20b,parti,adversaire,2.2,2.990033222591362,37.88,0.0,35.68,-2.2,-2.990033222591362,-37.88,17.21818181818182,0.0,0.0,0.0,0.0
5,rep_rich,$250K+ Income,Republican,droite,oss20,gpt-oss-20b,parti,journaliste,2.2,2.990033222591362,37.88,0.0,35.68,-2.2,-2.990033222591362,-37.88,17.21818181818182,0.0,0.0,0.0,0.0
5,rep_rich,$250K+ Income,Republican,droite,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,adversaire,2.2,2.272727272727273,37.88,15.0,35.68,12.8,12.727272727272727,-22.880000000000003,17.21818181818182,6.8181818181818175,6.6,0.3833157338965153,0.395987328405491
5,rep_rich,$250K+ Income,Republican,droite,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,journaliste,2.2,2.272727272727273,37.88,15.0,35.68,12.8,12.727272727272727,-22.880000000000003,17.21818181818182,6.8181818181818175,6.6,0.3833157338965153,0.395987328405491
5,rep_rich,$250K+ Income,Republican,droite,q30,Qwen3-30B-A3B-Instruct-2507,parti,adversaire,2.2,2.990033222591362,37.88,15.0,35.68,12.8,12.009966777408637,-22.880000000000003,17.21818181818182,6.8181818181818175,5.016666666666667,0.2913586765223512,0.395987328405491
5,rep_rich,$250K+ Income,Republican,droite,q30,Qwen3-30B-A3B-Instruct-2507,parti,journaliste,2.2,2.990033222591362,37.88,15.0,35.68,12.8,12.009966777408637,-22.880000000000003,17.21818181818182,6.8181818181818175,5.016666666666667,0.2913586765223512,0.395987328405491
5,rep_rich,$250K+ Income,Republican,droite,q4,Qwen3-4B-Instruct-2507,ideologie,adversaire,2.2,2.272727272727273,37.88,35.0,35.68,32.8,32.72727272727273,-2.8800000000000026,17.21818181818182,15.909090909090908,15.4,0.894403379091869,0.9239704329461456
5,rep_rich,$250K+ Income,Republican,droite,q4,Qwen3-4B-Instruct-2507,ideologie,journaliste,2.2,2.272727272727273,37.88,32.0,35.68,29.8,29.727272727272727,-5.880000000000003,17.21818181818182,14.545454545454543,14.079999999999998,0.8177402323125659,0.8447729672650475
5,rep_rich,$250K+ Income,Republican,droite,q4,Qwen3-4B-Instruct-2507,parti,adversaire,2.2,2.990033222591362,37.88,15.0,35.68,12.8,12.009966777408637,-22.880000000000003,17.21818181818182,6.8181818181818175,5.016666666666667,0.2913586765223512,0.395987328405491
5,rep_rich,$250K+ Income,Republican,droite,q4,Qwen3-4B-Instruct-2507,parti,journaliste,2.2,2.990033222591362,37.88,45.0,35.68,42.8,42.009966777408636,7.119999999999997,17.21818181818182,20.454545454545453,15.05,0.8740760295670538,1.187961985216473
6,rep_old,Age 65+,Republican,droite,oss20,gpt-oss-20b,ideologie,adversaire,21.3,18.67469879518072,39.342,30.0,18.041999999999998,8.7,11.32530120481928,-9.341999999999999,1.8470422535211264,1.408450704225352,1.606451612903226,0.8697427521437323,0.7625438462711606
6,rep_old,Age 65+,Republican,droite,oss20,gpt-oss-20b,ideologie,journaliste,21.3,18.67469879518072,39.342,18.0,18.041999999999998,-3.3000000000000007,-0.6746987951807206,-21.342,1.8470422535211264,0.8450704225352113,0.9638709677419356,0.5218456512862394,0.4575263077626963
6,rep_old,Age 65+,Republican,droite,oss20,gpt-oss-20b,parti,adversaire,21.3,16.076294277929154,39.342,18.0,18.041999999999998,-3.3000000000000007,1.9237057220708458,-21.342,1.8470422535211264,0.8450704225352113,1.1196610169491523,0.6061913390528431,0.4575263077626963
6,rep_old,Age 65+,Republican,droite,oss20,gpt-oss-20b,parti,journaliste,21.3,16.076294277929154,39.342,18.0,18.041999999999998,-3.3000000000000007,1.9237057220708458,-21.342,1.8470422535211264,0.8450704225352113,1.1196610169491523,0.6061913390528431,0.4575263077626963
6,rep_old,Age 65+,Republican,droite,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,adversaire,21.3,18.67469879518072,39.342,28.0,18.041999999999998,6.699999999999999,9.32530120481928,-11.341999999999999,1.8470422535211264,1.3145539906103283,1.4993548387096776,0.8117599020008168,0.7117075898530832
6,rep_old,Age 65+,Republican,droite,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,journaliste,21.3,18.67469879518072,39.342,45.0,18.041999999999998,23.7,26.32530120481928,5.658000000000001,1.8470422535211264,2.112676056338028,2.409677419354839,1.3046141282155983,1.143815769406741
6,rep_old,Age 65+,Republican,droite,q30,Qwen3-30B-A3B-Instruct-2507,parti,adversaire,21.3,16.076294277929154,39.342,28.0,18.041999999999998,6.699999999999999,11.923705722070846,-11.341999999999999,1.8470422535211264,1.3145539906103283,1.7416949152542374,0.9429643051933114,0.7117075898530832
6,rep_old,Age 65+,Republican,droite,q30,Qwen3-30B-A3B-Instruct-2507,parti,journaliste,21.3,16.076294277929154,39.342,35.0,18.041999999999998,13.7,18.923705722070846,-4.341999999999999,1.8470422535211264,1.6431924882629108,2.1771186440677965,1.1787053814916393,0.8896344873163541
6,rep_old,Age 65+,Republican,droite,q4,Qwen3-4B-Instruct-2507,ideologie,adversaire,21.3,18.67469879518072,39.342,22.0,18.041999999999998,0.6999999999999993,3.3253012048192794,-17.342,1.8470422535211264,1.0328638497652582,1.1780645161290324,0.6378113515720704,0.5591988205988511
6,rep_old,Age 65+,Republican,droite,q4,Qwen3-4B-Instruct-2507,ideologie,journaliste,21.3,18.67469879518072,39.342,32.0,18.041999999999998,10.7,13.32530120481928,-7.341999999999999,1.8470422535211264,1.5023474178403755,1.7135483870967745,0.9277256022866478,0.813380102689238
6,rep_old,Age 65+,Republican,droite,q4,Qwen3-4B-Instruct-2507,parti,adversaire,21.3,16.076294277929154,39.342,18.0,18.041999999999998,-3.3000000000000007,1.9237057220708458,-21.342,1.8470422535211264,0.8450704225352113,1.1196610169491523,0.6061913390528431,0.4575263077626963
6,rep_old,Age 65+,Republican,droite,q4,Qwen3-4B-Instruct-2507,parti,journaliste,21.3,16.076294277929154,39.342,24.0,18.041999999999998,2.6999999999999993,7.923705722070846,-15.341999999999999,1.8470422535211264,1.1267605633802815,1.4928813559322034,0.8082551187371241,0.6100350770169285
7,rep_south,Southern,Republican,droite,oss20,gpt-oss-20b,ideologie,adversaire,35.7,31.32530120481928,40.4815,30.0,4.781499999999994,-5.700000000000003,-1.3253012048192794,-10.481499999999997,1.1339355742296915,0.8403361344537814,0.9576923076923076,0.844573827170816,0.7410792584266888
7,rep_south,Southern,Republican,droite,oss20,gpt-oss-20b,ideologie,journaliste,35.7,31.32530120481928,40.4815,30.0,4.781499999999994,-5.700000000000003,-1.3253012048192794,-10.481499999999997,1.1339355742296915,0.8403361344537814,0.9576923076923076,0.844573827170816,0.7410792584266888
7,rep_south,Southern,Republican,droite,oss20,gpt-oss-20b,parti,adversaire,35.7,33.5149863760218,40.4815,30.0,4.781499999999994,-5.700000000000003,-3.5149863760218025,-10.481499999999997,1.1339355742296915,0.8403361344537814,0.8951219512195121,0.789394011055336,0.7410792584266888
7,rep_south,Southern,Republican,droite,oss20,gpt-oss-20b,parti,journaliste,35.7,33.5149863760218,40.4815,30.0,4.781499999999994,-5.700000000000003,-3.5149863760218025,-10.481499999999997,1.1339355742296915,0.8403361344537814,0.8951219512195121,0.789394011055336,0.7410792584266888
7,rep_south,Southern,Republican,droite,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,adversaire,35.7,31.32530120481928,40.4815,35.0,4.781499999999994,-0.7000000000000028,3.6746987951807206,-5.481499999999997,1.1339355742296915,0.9803921568627452,1.1173076923076923,0.9853361316992854,0.8645924681644702
7,rep_south,Southern,Republican,droite,q30,Qwen3-30B-A3B-Instruct-2507,ideologie,journaliste,35.7,31.32530120481928,40.4815,35.0,4.781499999999994,-0.7000000000000028,3.6746987951807206,-5.481499999999997,1.1339355742296915,0.9803921568627452,1.1173076923076923,0.9853361316992854,0.8645924681644702
7,rep_south,Southern,Republican,droite,q30,Qwen3-30B-A3B-Instruct-2507,parti,adversaire,35.7,33.5149863760218,40.4815,65.0,4.781499999999994,29.299999999999997,31.485013623978197,24.518500000000003,1.1339355742296915,1.8207282913165264,1.9394308943089429,1.7103536906198948,1.605671726591159
7,rep_south,Southern,Republican,droite,q30,Qwen3-30B-A3B-Instruct-2507,parti,journaliste,35.7,33.5149863760218,40.4815,45.0,4.781499999999994,9.299999999999997,11.485013623978197,4.518500000000003,1.1339355742296915,1.2605042016806722,1.3426829268292682,1.184091016583004,1.1116188876400332
7,rep_south,Southern,Republican,droite,q4,Qwen3-4B-Instruct-2507,ideologie,adversaire,35.7,31.32530120481928,40.4815,60.0,4.781499999999994,24.299999999999997,28.67469879518072,19.518500000000003,1.1339355742296915,1.6806722689075628,1.9153846153846152,1.689147654341632,1.4821585168533775
7,rep_south,Southern,Republican,droite,q4,Qwen3-4B-Instruct-2507,ideologie,journaliste,35.7,31.32530120481928,40.4815,58.0,4.781499999999994,22.299999999999997,26.67469879518072,17.518500000000003,1.1339355742296915,1.6246498599439774,1.8515384615384616,1.632842732530244,1.432753232958265
7,rep_south,Southern,Republican,droite,q4,Qwen3-4B-Instruct-2507,parti,adversaire,35.7,33.5149863760218,40.4815,85.0,4.781499999999994,49.3,51.4850136239782,44.5185,1.1339355742296915,2.380952380952381,2.5361788617886174,2.236616364656786,2.0997245655422847
7,rep_south,Southern,Republican,droite,q4,Qwen3-4B-Instruct-2507,parti,journaliste,35.7,33.5149863760218,40.4815,65.0,4.781499999999994,29.299999999999997,31.485013623978197,24.518500000000003,1.1339355742296915,1.8207282913165264,1.9394308943089429,1.7103536906198948,1.605671726591159
