item,domaine,n_paires,taux_changement,n_modalites,entropie_bits
QID198_5,heuristiques_biais,1032,0.2616,2,0.725
QID203_4,heuristiques_biais,1026,0.2544,2,0.7274
QID192,heuristiques_biais,1051,0.2293,2,0.8912
QID184,heuristiques_biais,1027,0.2259,2,0.9283
QID169,heuristiques_biais,1009,0.223,2,0.9357
QID163,heuristiques_biais,1002,0.2056,2,0.8731
QID165,heuristiques_biais,1056,0.1922,2,0.65
QID183,heuristiques_biais,1031,0.1911,2,0.831
QID9_38,prix,2058,0.1861,2,0.986
QID203_2,heuristiques_biais,1026,0.1793,2,0.5928
QID9_7,prix,2058,0.1783,2,0.9914
QID198_2,heuristiques_biais,1032,0.1734,2,0.5856
QID9_5,prix,2058,0.171,2,0.993
QID9_4,prix,2058,0.1696,2,0.99
QID9_18,prix,2058,0.1681,2,0.9897
QID9_30,prix,2058,0.1676,2,0.9858
QID9_40,prix,2058,0.1672,2,0.9783
QID9_2,prix,2058,0.1672,2,0.9862
QID9_36,prix,2058,0.1667,2,0.9776
QID9_16,prix,2058,0.1662,2,0.9836
QID9_34,prix,2058,0.1642,2,0.9864
QID9_32,prix,2058,0.1642,2,0.9856
QID9_25,prix,2058,0.1642,2,0.986
QID9_22,prix,2058,0.1633,2,0.9879
QID9_31,prix,2058,0.1628,2,0.9758
QID9_35,prix,2058,0.1628,2,0.9809
QID9_1,prix,2058,0.1623,2,0.987
QID9_29,prix,2058,0.1623,2,0.9877
QID9_13,prix,2058,0.1618,2,0.9856
QID9_27,prix,2058,0.1618,2,0.9856
QID9_39,prix,2058,0.1608,2,0.9734
QID9_33,prix,2058,0.1608,2,0.9811
QID9_26,prix,2058,0.1608,2,0.9864
QID9_28,prix,2058,0.1603,2,0.9827
QID9_14,prix,2058,0.1594,2,0.9766
QID9_21,prix,2058,0.1589,2,0.9937
QID9_8,prix,2058,0.1589,2,0.9893
QID9_9,prix,2058,0.1574,2,0.9864
QID9_19,prix,2058,0.1565,2,0.9893
QID9_15,prix,2058,0.1565,2,0.9914
QID9_24,prix,2058,0.156,2,0.9866
QID9_17,prix,2058,0.1545,2,0.9879
QID9_12,prix,2058,0.1545,2,0.9834
QID9_10,prix,2058,0.154,2,0.9913
QID9_37,prix,2058,0.154,2,0.982
QID9_3,prix,2058,0.1516,2,0.9933
QID9_23,prix,2058,0.1511,2,0.982
QID9_6,prix,2058,0.1477,2,0.9862
QID9_11,prix,2058,0.1472,2,0.987
QID9_20,prix,2058,0.1448,2,0.985
QID198_1,heuristiques_biais,1032,0.1269,2,0.3934
QID203_1,heuristiques_biais,1026,0.0663,2,0.2597
QID167,heuristiques_biais,1049,0.062,2,0.3389
