role,item_gss,famille_gss,item_anes,etude_anes,libelle_anes,type_appariement,confiance,statut_donnees_anes,modalites_gss,modalites_anes,note
appariement_gss,posslq/y,residu : hors axe,,,,,absent,,,,
appariement_gss,wrkstat,residu : hors axe,,,,,absent,,,,
appariement_gss,evwork,residu : hors axe,,,,,absent,,,,
appariement_gss,wrkgovt1,residu : hors axe,,,,,absent,,,,
appariement_gss,wrkgovt2,residu : hors axe,,,,,absent,,,,
appariement_gss,partfull,residu : hors axe,,,,,absent,,,,
appariement_gss,wksub1,residu : hors axe,,,,,absent,,,,
appariement_gss,wksup1,residu : hors axe,,,,,absent,,,,
appariement_gss,conarmy,confiance dans les institutions (con*),V242618,ANES 2024 (module GSS),POST: GSS: R's confidence in US military,libelle identique,identique,vide dans le fichier public (0 reponse valide),grande confiance | confiance limitee | presque aucune,1. A great deal | 2. Only some | 3. Hardly any,Confidence in US military. Absent en 2020.
appariement_gss,conbus,confiance dans les institutions (con*),,,,,absent,,,,"Batterie con* : seules quatre institutions sont reprises, dans le module GSS 2024 vide."
appariement_gss,conclerg,confiance dans les institutions (con*),,,,,absent,,,,"Batterie con* : seules quatre institutions sont reprises, dans le module GSS 2024 vide."
appariement_gss,coneduc,confiance dans les institutions (con*),,,,,absent,,,,"Batterie con* : seules quatre institutions sont reprises, dans le module GSS 2024 vide."
appariement_gss,confed,confiance dans les institutions (con*),,,,,absent,,,,"Batterie con* : seules quatre institutions sont reprises, dans le module GSS 2024 vide."
appariement_gss,confinan,confiance dans les institutions (con*),,,,,absent,,,,"Batterie con* : seules quatre institutions sont reprises, dans le module GSS 2024 vide."
appariement_gss,conjudge,confiance dans les institutions (con*),V242617,ANES 2024 (module GSS),POST: GSS: R's confidence in US Supreme Court,libelle identique,identique,vide dans le fichier public (0 reponse valide),grande confiance | confiance limitee | presque aucune,1. A great deal | 2. Only some | 3. Hardly any,Confidence in US Supreme Court. Absent en 2020.
appariement_gss,conlabor,confiance dans les institutions (con*),,,,,absent,,,,"Batterie con* : seules quatre institutions sont reprises, dans le module GSS 2024 vide."
appariement_gss,conlegis,confiance dans les institutions (con*),,,,,absent,,,,"Batterie con* : seules quatre institutions sont reprises, dans le module GSS 2024 vide."
appariement_gss,conmedic,confiance dans les institutions (con*),V202634,ANES 2020 (module GSS),POST: GSS: How confident is R in medical institutions,libelle identique,identique,vide dans le fichier public (0 reponse valide),grande confiance | confiance limitee | presque aucune,,Absent du module GSS 2024.
appariement_gss,conpress,confiance dans les institutions (con*),V242619,ANES 2024 (module GSS),POST: GSS: R's confidence in the press,libelle identique,identique,vide dans le fichier public (0 reponse valide),grande confiance | confiance limitee | presque aucune,1. A great deal | 2. Only some | 3. Hardly any,Confidence in the press. Absent en 2020.
appariement_gss,consci,confiance dans les institutions (con*),V202635,ANES 2020 (module GSS),POST: GSS: How confident is R in scientific community,libelle identique,identique,vide dans le fichier public (0 reponse valide),grande confiance | confiance limitee | presque aucune,,V242620 en 2024.
appariement_gss,contv,confiance dans les institutions (con*),,,,,absent,,,,"Batterie con* : seules quatre institutions sont reprises, dans le module GSS 2024 vide."
appariement_gss,joblose,residu : economique,,,,,absent,,,,
appariement_gss,jobfind,residu : economique,,,,,absent,,,,
appariement_gss,happy,residu : hors axe,V202630,ANES 2020 (module GSS),POST: GSS: Taken all together how happy is R these days,libelle identique,identique,vide dans le fichier public (0 reponse valide),tres heureux | plutot heureux | pas trop heureux,,V242614 en 2024. Trois modalites GSS.
appariement_gss,hapmar,residu : hors axe,,,,,absent,,,,
appariement_gss,satjob,residu : economique,,,,,absent,,,,
appariement_gss,spdeg*,residu : hors axe,,,,,absent,,,,
appariement_gss,spjew,residu : hors axe,,,,,absent,,,,
appariement_gss,spfund,residu : hors axe,,,,,absent,,,,
appariement_gss,unemp,residu : hors axe,,,,,absent,,,,
appariement_gss,union1,residu : economique,,,,,absent,,,,
appariement_gss,spkath/y,libertes civiles (spk/col/lib),,,,,absent,,,,Batterie Stouffer de libertes civiles : aucun equivalent dans l ANES.
appariement_gss,colath,libertes civiles (spk/col/lib),,,,,absent,,,,Batterie Stouffer de libertes civiles : aucun equivalent dans l ANES.
appariement_gss,spkrac/y,libertes civiles (spk/col/lib),,,,,absent,,,,Batterie Stouffer de libertes civiles : aucun equivalent dans l ANES.
appariement_gss,colrac,libertes civiles (spk/col/lib),,,,,absent,,,,Batterie Stouffer de libertes civiles : aucun equivalent dans l ANES.
appariement_gss,librac/y,libertes civiles (spk/col/lib),,,,,absent,,,,Batterie Stouffer de libertes civiles : aucun equivalent dans l ANES.
appariement_gss,spkcom/y,libertes civiles (spk/col/lib),,,,,absent,,,,Batterie Stouffer de libertes civiles : aucun equivalent dans l ANES.
appariement_gss,colcom/y,libertes civiles (spk/col/lib),,,,,absent,,,,Batterie Stouffer de libertes civiles : aucun equivalent dans l ANES.
appariement_gss,libcom/y,libertes civiles (spk/col/lib),,,,,absent,,,,Batterie Stouffer de libertes civiles : aucun equivalent dans l ANES.
appariement_gss,spkhomo/y,libertes civiles (spk/col/lib),,,,,absent,,,,Batterie Stouffer de libertes civiles : aucun equivalent dans l ANES.
appariement_gss,colhomo,libertes civiles (spk/col/lib),,,,,absent,,,,Batterie Stouffer de libertes civiles : aucun equivalent dans l ANES.
appariement_gss,libhomo/y,libertes civiles (spk/col/lib),,,,,absent,,,,Batterie Stouffer de libertes civiles : aucun equivalent dans l ANES.
appariement_gss,cappun,residu : social,V201345x,ANES 2020,PRE: SUMMARY: R favor/oppose death penalty,"meme objet, meme population cible",elevee,renseigne,pour | contre,1. Favor strongly | 2. Favor not strongly | 3. Oppose not strongly | 4. Oppose strongly,"GSS cappun : pour ou contre la peine de mort pour meurtre, 2 modalites. ANES : pour ou contre, avec intensite, 4 modalites. Recodage 4 vers 2 immediat."
appariement_gss,polhitok/y,residu : social,,,,,absent,,,,
appariement_gss,polabuse/y,residu : social,,,,,absent,,,,
appariement_gss,polattak/y,residu : social,,,,,absent,,,,
appariement_gss,grass,residu : social,,,,,absent,,,,Aucun item sur le cannabis dans l ANES 2020 ni 2024.
appariement_gss,gunlaw,residu : social,V202337,ANES 2020,POST: Should federal government make it more difficult or easier to buy a gun,"concept proche, instrument different",moyenne,renseigne,pour | contre,1. More difficult | 2. Easier | 3. Keep these rules about the same,"GSS gunlaw : permis de police avant achat, pour ou contre. ANES : rendre l achat plus difficile, plus facile ou inchange. Voir aussi V202339 sur la verification des antecedents."
appariement_gss,owngun,residu : hors axe,,,,,absent,,,,
appariement_gss,hunt1,residu : hors axe,,,,,absent,,,,
appariement_gss,class,residu : economique,V202352,ANES 2020,POST: How would R describe social class [EGSS],"meme objet, memes modalites",elevee,renseigne,classe inferieure | classe ouvriere | classe moyenne | classe superieure,1. Lower class | 2. Working class | 3. Middle class | 4. Upper class,"Quatre modalites identiques : classe inferieure, ouvriere, moyenne, superieure. V202353 detaille la classe moyenne."
appariement_gss,satfin,residu : economique,V201594,ANES 2020,PRE: How worried is R about current financial situation,"concept proche, valence inverse",moyenne,renseigne,,1. Extremely worried | 2. Very worried | 3. Moderately worried | 4. A little worried | 5. Not at all worried,GSS satfin : satisfaction de sa situation financiere. ANES : inquietude a propos de sa situation financiere.
appariement_gss,finalter,residu : economique,V201502,ANES 2020,PRE: R how much better or worse off financially than 1 year ago,"concept proche, horizon different",moyenne,renseigne,,1. Much better off | 2. Somewhat better off | 3. About the same | 4. Somewhat worse off | 5. Much worse off,GSS finalter : mieux ou moins bien depuis quelques annees. ANES : mieux ou moins bien depuis un an.
appariement_gss,finrela,residu : economique,,,,,absent,,,,
appariement_gss,racdif1,residu : social,V202527,ANES 2020,POST: Discrimination in the US against blacks,concept proche,moyenne,renseigne,oui | non,1. A great deal | 2. A lot | 3. A moderate amount | 4. A little | 5. None at all,"GSS racdif1 : les ecarts viennent ils de la discrimination, oui ou non. ANES : quelle discrimination subissent les Noirs, 5 modalites."
appariement_gss,racdif2,residu : social,,,,,absent,,,,"Ecart d education, aucun equivalent."
appariement_gss,racdif3,residu : social,,,,,absent,,,,"Capacite innee, aucun equivalent."
appariement_gss,racdif4,residu : social,V202303,ANES 2020,POST: Agree/disagree: if blacks tried harder they'd be as well off as whites,meme mecanisme attributionnel,elevee,renseigne,oui | non,1. Agree strongly | 2. Agree somewhat | 3. Neither agree nor disagree | 4. Disagree somewhat | 5. Disagree strongly,"GSS racdif4 : manque de volonte. ANES : si les Noirs faisaient plus d efforts ils seraient aussi bien lotis que les Blancs, 5 modalites."
appariement_gss,wlthwhts,residu : social,V202516,ANES 2020,POST: Stereotype: Blacks hardworking,concept eloigne,faible,renseigne,,1. Hard-working | 7. Lazy,ANES : stereotype travailleur ou paresseux applique aux Noirs et aux Blancs. GSS wlth* : echelle riche ou pauvre.
appariement_gss,wlthblks,residu : social,V202516,ANES 2020,POST: Stereotype: Blacks hardworking,concept eloigne,faible,renseigne,,1. Hard-working | 7. Lazy,
appariement_gss,wlthhsps,residu : social,,,,,absent,,,,
appariement_gss,racwork,residu : hors axe,,,,,absent,,,,
appariement_gss,letin1a,residu : social,V202232,ANES 2020,POST: What should immigration levels be,"meme objet, meme echelle",elevee,renseigne,augmente beaucoup | augmente un peu | inchange | reduit un peu | reduit beaucoup,1. Increased a lot | 2. Increased a little | 3. Left the same as it is now | 4. Decreased a little | 5. Decreased a lot,"Les deux demandent si le nombre d immigres admis doit augmenter ou diminuer, 5 modalites ordonnees dans le meme sens."
appariement_gss,getahead,residu : economique,,,,,absent,,,,
appariement_gss,aged,residu : social,,,,,absent,,,,
appariement_gss,parsol,residu : economique,,,,,absent,,,,
appariement_gss,kidssol,residu : economique,,,,,absent,,,,
appariement_gss,spanking,residu : social,,,,,absent,,,,
appariement_gss,divlaw,residu : social,,,,,absent,,,,
appariement_gss,sexeduc,residu : social,,,,,absent,,,,
appariement_gss,pillok,residu : social,,,,,absent,,,,
appariement_gss,xmarsex,residu : social,,,,,absent,,,,
appariement_gss,homosex,residu : social,,,,,absent,,,,Le jugement moral sur les relations homosexuelles n a pas d equivalent ANES ; le thermometre V202166 mesure autre chose.
appariement_gss,marhomo,residu : social,V201416,ANES 2020,PRE: R position on gay marriage,meme objet,elevee,renseigne,tout a fait d accord | d accord | ni l un ni l autre | pas d accord | pas du tout d accord,1. Gay and lesbian couples should be allowed to legally marry | 2. Gay and lesbian couples should be allowed to form civil unions but not legally marry | 3. There should be no legal recognition of gay or lesbian couples' relationship,"GSS marhomo : les couples homosexuels devraient avoir le droit de se marier, accord en 5 points. ANES : trois positions, mariage, union civile, aucune reconnaissance."
appariement_gss,discaff,residu : social,V202252x,ANES 2020,POST: SUMMARY: Favor/oppose preferential hiring/promotion of blacks,meme objet,elevee,renseigne,tres favorable | favorable | defavorable | tres defavorable,1. Strongly for preferential hiring/promotion of blacks | 2. Not strongly for preferential hiring/promotion of blacks | 3. Not strongly against preferential hiring/promotion of blacks | 4. Strongly against preferential hiring/promotion of blacks,"GSS discaff : pour ou contre la preference a l embauche et a la promotion des Noirs, 4 modalites. ANES : formulation et echelle equivalentes."
appariement_gss,abdefect,avortement (ab*),V201336,ANES 2020,PRE: STD Abortion: self-placement,couvert par une modalite,faible,renseigne,oui | non,"1. By law, abortion should never be permitted | 2. The law should permit abortion only in case of rape, incest, or when the woman's life is in danger | 3. The law should permit abortion other than for rape/incest/danger to woman but only after need clearly established | 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice | 5. Other {SPECIFY}","La modalite 2 de l ANES couvre viol, inceste et danger vital, pas la malformation."
appariement_gss,abnomore,avortement (ab*),V201336,ANES 2020,PRE: STD Abortion: self-placement,couvert par la modalite 4,faible,renseigne,oui | non,"1. By law, abortion should never be permitted | 2. The law should permit abortion only in case of rape, incest, or when the woman's life is in danger | 3. The law should permit abortion other than for rape/incest/danger to woman but only after need clearly established | 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice | 5. Other {SPECIFY}",
appariement_gss,abhlth,avortement (ab*),V201336,ANES 2020,PRE: STD Abortion: self-placement,couvert par la modalite 2,moyenne,renseigne,oui | non,"1. By law, abortion should never be permitted | 2. The law should permit abortion only in case of rape, incest, or when the woman's life is in danger | 3. The law should permit abortion other than for rape/incest/danger to woman but only after need clearly established | 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice | 5. Other {SPECIFY}",
appariement_gss,abpoor,avortement (ab*),V201336,ANES 2020,PRE: STD Abortion: self-placement,couvert par la modalite 4,faible,renseigne,oui | non,"1. By law, abortion should never be permitted | 2. The law should permit abortion only in case of rape, incest, or when the woman's life is in danger | 3. The law should permit abortion other than for rape/incest/danger to woman but only after need clearly established | 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice | 5. Other {SPECIFY}",
appariement_gss,abrape,avortement (ab*),V201336,ANES 2020,PRE: STD Abortion: self-placement,couvert par la modalite 2,moyenne,renseigne,oui | non,"1. By law, abortion should never be permitted | 2. The law should permit abortion only in case of rape, incest, or when the woman's life is in danger | 3. The law should permit abortion other than for rape/incest/danger to woman but only after need clearly established | 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice | 5. Other {SPECIFY}",
appariement_gss,absingle,avortement (ab*),V201336,ANES 2020,PRE: STD Abortion: self-placement,couvert par la modalite 4,faible,renseigne,oui | non,"1. By law, abortion should never be permitted | 2. The law should permit abortion only in case of rape, incest, or when the woman's life is in danger | 3. The law should permit abortion other than for rape/incest/danger to woman but only after need clearly established | 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice | 5. Other {SPECIFY}",
appariement_gss,abany,avortement (ab*),V201336,ANES 2020,PRE: STD Abortion: self-placement,"concept proche, format tres different",moyenne,renseigne,oui | non,"1. By law, abortion should never be permitted | 2. The law should permit abortion only in case of rape, incest, or when the woman's life is in danger | 3. The law should permit abortion other than for rape/incest/danger to woman but only after need clearly established | 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice | 5. Other {SPECIFY}",GSS : sept items oui ou non par motif. ANES : un item unique a 4 modalites ordonnees. V241248 en 2024 ajoute une echelle a 7 points.
appariement_gss,letdie1,fin de vie (suicide/letdie),,,,,absent,,,,Fin de vie : aucun equivalent dans l ANES.
appariement_gss,suicide1,fin de vie (suicide/letdie),,,,,absent,,,,Fin de vie : aucun equivalent dans l ANES.
appariement_gss,suicide2,fin de vie (suicide/letdie),,,,,absent,,,,Fin de vie : aucun equivalent dans l ANES.
appariement_gss,suicide3,fin de vie (suicide/letdie),,,,,absent,,,,Fin de vie : aucun equivalent dans l ANES.
appariement_gss,suicide4,fin de vie (suicide/letdie),,,,,absent,,,,Fin de vie : aucun equivalent dans l ANES.
appariement_gss,pornlaw,residu : social,,,,,absent,,,,
appariement_gss,fair,residu : social,,,,,absent,,,,
appariement_gss,helpful,residu : social,,,,,absent,,,,
appariement_gss,trust,residu : social,V201237,ANES 2020,PRE: How often can people be trusted,"concept proche, echelle differente",moyenne,renseigne,on peut faire confiance | on n est jamais trop prudent | ca depend,1. Always | 2. Most of the time | 3. About half the time | 4. Some of the time | 5. Never,"GSS trust : on peut faire confiance, on n est jamais trop prudent, ca depend. ANES : frequence a 5 modalites."
appariement_gss,tax,residu : economique,,,,,absent,,,,GSS tax : impots federaux trop eleves. Pas d equivalent direct ANES 2020.
appariement_gss,vote16,residu : social,V201102,ANES 2020,PRE: Did R vote for President in 2016,meme objet,elevee,renseigne,,"1. Yes, voted | 2. No, didn't vote",Vote en 2016. A verifier dans le codebook avant usage.
appariement_gss,pres16,residu : social,V201103,ANES 2020,PRE: Recall of last (2016) Presidential vote choice,meme objet,elevee,renseigne,,1. Hillary Clinton | 2. Donald Trump | 5. Other {SPECIFY},Choix presidentiel 2016.
appariement_gss,if16who,residu : social,,,,,absent,,,,
appariement_gss,news,residu : hors axe,,,,,absent,,,,
appariement_gss,jew,residu : hors axe,,,,,absent,,,,
appariement_gss,relig16*,residu : hors axe,,,,,absent,,,,
appariement_gss,jew16*,residu : hors axe,,,,,absent,,,,
appariement_gss,attend,residu : social,V201453,ANES 2020,PRE: Attend religious services how often,"meme objet, granularite differente",elevee,renseigne,jamais | moins d une fois par an | environ une fois par an | plusieurs fois par an | environ une fois par mois | deux a trois fois par mois | presque chaque semaine | chaque semaine | plusieurs fois par semaine,1. Every week | 2. Almost every week | 3. Once or twice a month | 4. A few times a year | 5. Never,"GSS attend : 9 modalites de jamais a plusieurs fois par semaine. ANES : 5 modalites, plus V201454 pour la frequence superieure a une fois par semaine."
appariement_gss,pray,residu : social,,,,,absent,,,,
appariement_gss,postlife,residu : social,,,,,absent,,,,
appariement_gss,bible,residu : social,V201434,ANES 2020,PRE: Is Bible word of God or men,formulation quasi identique,elevee,renseigne,"parole litterale de Dieu | parole inspiree, non litterale | livre de fables ecrit par des hommes","1. The Bible is the actual word of God and is to be taken literally, word for word | 2. The Bible is the word of God but not everything in it should be taken literally, word for word | 3. The Bible is a book written by men and is not the word of God","Trois modalites dans les deux cas : parole litterale, parole non litterale, livre ecrit par des hommes."
appariement_gss,reborn,residu : social,V201456,ANES 2020,PRE: Does Christian R consider self born again,meme objet,elevee,renseigne,oui | non,1. Yes | 2. No,Oui ou non dans les deux cas ; l ANES precise l experience de conversion liee a Jesus Christ.
appariement_gss,savesoul,residu : social,,,,,absent,,,,
appariement_gss,granborn,residu : hors axe,,,,,absent,,,,
appariement_gss,uscitzn*,residu : hors axe,,,,,absent,,,,
appariement_gss,fucitzn,residu : hors axe,,,,,absent,,,,
appariement_gss,mnthsusa,residu : hors axe,,,,,absent,,,,
appariement_gss,income,residu : economique,V201617x,ANES 2020,PRE: SUMMARY: Total (family) income,"meme objet, tranches differentes",moyenne,renseigne,,"1. Under $9,999 | 2. $10,000-14,999 | 3. $15,000-19,999 | 4. $20,000-24,999 | 5. $25,000-29,999 | 6. $30,000-34,999 | 7. $35,000-39,999 | 8. $40,000-44,999 | 9. $45,000-49,999 | 10. $50,000-59,999 | 11. $60,000-64,999 | 12. $65,000-69,999 | 13. $70,000-74,999 | 14. $75,000-79,999 | 15. $80,000-89,999 | 16. $90,000-99,999 | 17. $100,000-109,999 | 18. $110,000-124,999 | 19. $125,000-149,999 | 20. $150,000-174,999 | 21. $175,000-249,999 | 22. $250,000 or more",Revenu total du foyer en tranches.
appariement_gss,othlang,residu : hors axe,,,,,absent,,,,
appariement_gss,health,residu : hors axe,,,,,absent,,,,
appariement_gss,compuse*,residu : hors axe,,,,,absent,,,,
appariement_gss,webmob,residu : hors axe,,,,,absent,,,,
appariement_gss,xmovie,residu : hors axe,,,,,absent,,,,
appariement_gss,usewww*,residu : hors axe,,,,,absent,,,,
appariement_gss,life,residu : hors axe,,,,,absent,,,,
appariement_gss,richwork,residu : economique,,,,,absent,,,,
placement_partis,,,V201206,ANES 2020,PRE: 7pt scale liberal-conservative: Democratic party,item de placement d un parti,identique,renseigne,,1. Extremely liberal | 2. Liberal | 3. Slightly liberal | 4. Moderate; middle of the road | 5. Slightly conservative | 6. Conservative | 7. Extremely conservative,"ou le repondant place le parti democrate sur l echelle liberal-conservateur. V241183 en 2024, VCF0503 dans le fichier cumulatif 1948-2024."
placement_partis,,,V201207,ANES 2020,PRE: 7pt scale liberal-conservative: Republican party,item de placement d un parti,identique,renseigne,,1. Extremely liberal | 2. Liberal | 3. Slightly liberal | 4. Moderate; middle of the road | 5. Slightly conservative | 6. Conservative | 7. Extremely conservative,"parti republicain. V241184 en 2024, VCF0504 dans le cumulatif."
placement_partis,,,V202437,ANES 2020,POST: CSES5-Q17a: Left-right-Democratic Party,item de placement d un parti,identique,renseigne,,,"placement gauche-droite du parti democrate, echelle CSES en 11 points. V242436 en 2024, VCF9241 dans le cumulatif."
placement_partis,,,V202438,ANES 2020,POST: CSES5-Q17b: Left-right-Republican Party,item de placement d un parti,identique,renseigne,,,"parti republicain, echelle CSES. V242437 en 2024, VCF9242 dans le cumulatif."
placement_candidats,,,V201202,ANES 2020,PRE: 7pt scale liberal-conservative: Democratic Presidential candidate,item de placement d un candidat,identique,renseigne,,1. Extremely liberal | 2. Liberal | 3. Slightly liberal | 4. Moderate; middle of the road | 5. Slightly conservative | 6. Conservative | 7. Extremely conservative,"candidat democrate, liberal-conservateur. V241179 en 2024, VCF9088 dans le cumulatif."
placement_candidats,,,V201203,ANES 2020,PRE: 7pt scale liberal-conservative: Republican Presidential candidate,item de placement d un candidat,identique,renseigne,,1. Extremely liberal | 2. Liberal | 3. Slightly liberal | 4. Moderate; middle of the road | 5. Slightly conservative | 6. Conservative | 7. Extremely conservative,"candidat republicain. V241180 en 2024, VCF9096 dans le cumulatif."
placement_candidats,,,V201247,ANES 2020,PRE: 7pt scale spending & services: Democratic Presidential candidate,item de placement d un candidat,identique,renseigne,,1. Government should provide many fewer services | 2. | 3. | 4. | 5. | 6. | 7. Government should provide many more services,"depenses et services publics, candidat democrate. Aucun pendant parti en 2020 ni 2024."
placement_candidats,,,V201248,ANES 2020,PRE: 7pt scale spending & services: Republican Presidential candidate,item de placement d un candidat,identique,renseigne,,1. Government should provide many fewer services | 2. | 3. | 4. | 5. | 6. | 7. Government should provide many more services,"depenses et services publics, candidat republicain."
placement_candidats,,,V201250,ANES 2020,PRE: 7pt scale defense spending: Democratic Presidential candidate,item de placement d un candidat,identique,renseigne,,1. Greatly decrease defense spending | 2. | 3. | 4. | 5. | 6. | 7. Greatly increase defense spending,"depenses de defense, candidat democrate."
placement_candidats,,,V201251,ANES 2020,PRE: 7pt scale defense spending: Republican Presidential candidate,item de placement d un candidat,identique,renseigne,,1. Greatly decrease defense spending | 2. | 3. | 4. | 5. | 6. | 7. Greatly increase defense spending,"depenses de defense, candidat republicain."
