item,bloc,n_reponses,n_modalites,retest_humain,r2_demographies,r2_voisins,B0 mode,B1 argmax,B2 argmax,"GPT-4.1-mini, persona texte","GPT-4.1-mini, persona texte, temperature par defaut","GPT-4.1-mini, persona texte, raisonnement","GPT-4.1-mini, persona texte, questions repetees","GPT-4.1-mini, persona JSON","GPT-4.1-mini, persona JSON, sortie predite","GPT-4.1-mini, resume de persona","GPT-4.1-mini, resume plus persona JSON","GPT-4.1-mini, affine sur 500 exemples","GPT-4.1-mini, demographies seules","GPT-4.1, persona JSON","GPT-4.1, persona JSON, sortie predite","Gemini-Flash-2.5, persona texte"
QID289_4,Non-experimental heuristics and biases,2058,7,0.479106,-0.031009,-0.016560,0.338678,0.321186,0.351798,0.327502,0.324101,0.310496,0.322643,0.326000,0.282313,0.314869,0.124393,0.321566,0.297862,0.324101,0.331707,0.284257
QID291,Non-experimental heuristics and biases,2058,4,0.531584,0.026908,0.003395,0.392614,0.406220,0.379009,0.391156,0.366375,0.368805,0.374636,0.315000,0.224004,0.345481,0.317784,0.411425,0.368319,0.392128,0.368780,0.192906
QID196,Non-experimental heuristics and biases,2058,2,0.721574,-0.000080,0.037294,0.621477,0.618076,0.634111,0.567541,0.564626,0.454325,0.379495,0.377000,0.258503,0.384354,0.457726,0.613607,0.380952,0.408649,0.380976,0.611759
QID9_1,Product Preferences - Pricing,2058,2,0.837707,-0.007494,0.011667,0.556365,0.572400,0.586492,0.696793,0.683673,0.669096,0.700680,0.702000,0.614189,0.613217,0.589407,0.663030,0.573858,0.713800,0.687317,0.683673
QID9_2,Product Preferences - Pricing,2058,2,0.832847,-0.011845,-0.009433,0.557337,0.558795,0.552478,0.666667,0.644801,0.640428,0.673469,0.686000,0.613703,0.634597,0.609815,0.594994,0.612245,0.714286,0.677073,0.686103
QID9_3,Product Preferences - Pricing,2058,2,0.848397,-0.008494,-0.000850,0.543246,0.543246,0.566569,0.663751,0.674927,0.637998,0.677357,0.685000,0.639456,0.648688,0.638970,0.554557,0.630709,0.709913,0.684390,0.685617
QID9_4,Product Preferences - Pricing,2058,2,0.830418,-0.008886,0.001075,0.541788,0.548591,0.551992,0.664723,0.662293,0.653547,0.671526,0.687000,0.626822,0.629252,0.620505,0.550064,0.613217,0.713800,0.693659,0.678814
QID9_5,Product Preferences - Pricing,2058,2,0.828960,-0.016714,-0.013829,0.545190,0.539359,0.551992,0.670554,0.648202,0.656463,0.660350,0.689000,0.615160,0.621963,0.614189,0.527599,0.624393,0.711856,0.696585,0.682702
QID9_6,Product Preferences - Pricing,2058,2,0.852284,-0.002029,0.001614,0.550534,0.566569,0.577745,0.677843,0.667153,0.668124,0.691448,0.675000,0.613217,0.655005,0.631681,0.510911,0.645773,0.736638,0.701463,0.694849
QID9_7,Product Preferences - Pricing,2058,2,0.821672,-0.022482,-0.018765,0.547133,0.528183,0.536443,0.682702,0.664723,0.661808,0.680272,0.676000,0.603499,0.625364,0.578231,0.547497,0.614674,0.723032,0.698537,0.672498
QID9_8,Product Preferences - Pricing,2058,2,0.841108,-0.015125,-0.000297,0.564140,0.551506,0.559281,0.674441,0.667153,0.654519,0.679300,0.662000,0.598639,0.623907,0.566569,0.502567,0.608358,0.704082,0.686829,0.660350
QID9_9,Product Preferences - Pricing,2058,2,0.842566,-0.010716,-0.000591,0.571429,0.562682,0.574830,0.662779,0.664723,0.644801,0.677357,0.680000,0.588435,0.616132,0.558795,0.517330,0.589893,0.728377,0.702927,0.692420
QID9_10,Product Preferences - Pricing,2058,2,0.845967,-0.008962,-0.007506,0.548591,0.550534,0.569485,0.659378,0.657434,0.661808,0.663265,0.678000,0.573858,0.642371,0.584548,0.529525,0.629738,0.703596,0.683902,0.685617
QID9_11,Product Preferences - Pricing,2058,2,0.852770,-0.010487,-0.012072,0.557823,0.558309,0.559767,0.685617,0.678814,0.655005,0.687561,0.682000,0.567055,0.652575,0.594266,0.518614,0.618562,0.720603,0.705854,0.679300
QID9_12,Product Preferences - Pricing,2058,2,0.845481,-0.007044,-0.006566,0.562196,0.579203,0.569971,0.669096,0.680272,0.654033,0.688047,0.662000,0.597668,0.647716,0.593294,0.523107,0.626336,0.725462,0.709268,0.683188
QID9_13,Product Preferences - Pricing,2058,2,0.838192,-0.007589,0.000890,0.564140,0.567541,0.552478,0.689504,0.683188,0.663265,0.678328,0.665000,0.594752,0.659864,0.592323,0.506418,0.626336,0.729835,0.703902,0.685131
QID9_14,Product Preferences - Pricing,2058,2,0.840622,-0.002111,-0.001261,0.575316,0.585520,0.579689,0.672983,0.670068,0.649660,0.680758,0.684000,0.576774,0.646259,0.572400,0.510911,0.598639,0.728377,0.699024,0.672498
QID9_15,Product Preferences - Pricing,2058,2,0.843537,-0.020130,-0.004171,0.552478,0.549077,0.566084,0.674441,0.666667,0.658406,0.679786,0.667000,0.575802,0.630709,0.561710,0.532092,0.580661,0.719145,0.688780,0.674927
QID9_16,Product Preferences - Pricing,2058,2,0.833819,-0.013282,-0.005853,0.551020,0.549563,0.556365,0.686103,0.680758,0.672983,0.680272,0.673000,0.590379,0.653547,0.568513,0.492940,0.607386,0.715743,0.699024,0.683673
QID9_17,Product Preferences - Pricing,2058,2,0.845481,-0.014974,-0.018676,0.554908,0.548591,0.562196,0.686103,0.679786,0.654033,0.681244,0.661000,0.567055,0.614189,0.507289,0.508986,0.533528,0.725948,0.705366,0.664237
QID9_18,Product Preferences - Pricing,2058,2,0.831876,-0.015650,-0.015329,0.542274,0.544704,0.533528,0.660350,0.658406,0.659864,0.652089,0.661000,0.579689,0.634597,0.567055,0.495507,0.600097,0.719145,0.711220,0.689990
QID9_19,Product Preferences - Pricing,2058,2,0.843537,-0.007925,-0.004268,0.550049,0.549563,0.542760,0.676385,0.667153,0.665695,0.657434,0.672000,0.564140,0.636054,0.551992,0.510270,0.584062,0.723518,0.699024,0.667153
QID9_20,Product Preferences - Pricing,2058,2,0.855199,-0.007936,0.003043,0.573858,0.574344,0.587464,0.675413,0.672012,0.646259,0.690476,0.668000,0.569971,0.634597,0.519922,0.509628,0.566569,0.730321,0.688293,0.675899
QID9_21,Product Preferences - Pricing,2058,2,0.841108,-0.010844,-0.010687,0.544218,0.560253,0.542274,0.655977,0.644801,0.650146,0.657434,0.632000,0.493683,0.629738,0.496113,0.519255,0.571429,0.719631,0.697561,0.677843
QID9_22,Product Preferences - Pricing,2058,2,0.836735,-0.020478,-0.006309,0.549077,0.532070,0.551506,0.664237,0.650632,0.654519,0.672012,0.653000,0.498542,0.605442,0.512148,0.501926,0.568513,0.716229,0.698537,0.675413
QID9_23,Product Preferences - Pricing,2058,2,0.848882,-0.027643,-0.009738,0.585034,0.535471,0.570943,0.684645,0.680758,0.666667,0.694363,0.656000,0.494655,0.623421,0.509232,0.498716,0.526725,0.727891,0.713171,0.667153
QID9_24,Product Preferences - Pricing,2058,2,0.844023,-0.015130,-0.010059,0.551020,0.548591,0.554422,0.667638,0.651603,0.661322,0.668610,0.679000,0.505345,0.635569,0.509718,0.517972,0.580175,0.726433,0.688780,0.676385
QID9_25,Product Preferences - Pricing,2058,2,0.835763,-0.009044,-0.002245,0.557823,0.549563,0.569971,0.661808,0.647716,0.637512,0.642857,0.632000,0.501458,0.630709,0.515063,0.493582,0.603984,0.700680,0.681951,0.632653
QID9_26,Product Preferences - Pricing,2058,2,0.839164,-0.002156,-0.002174,0.557337,0.567541,0.561710,0.675413,0.678814,0.655491,0.668610,0.668000,0.506317,0.610301,0.508746,0.512837,0.587464,0.719631,0.710732,0.661808
QID9_27,Product Preferences - Pricing,2058,2,0.838192,-0.012711,-0.013026,0.567055,0.561710,0.566084,0.678328,0.672983,0.669582,0.675413,0.661000,0.484937,0.613217,0.503887,0.503851,0.587464,0.716715,0.694146,0.657434
QID9_28,Product Preferences - Pricing,2058,2,0.839650,-0.008046,-0.011042,0.572400,0.579203,0.571914,0.649174,0.638970,0.626336,0.653547,0.637000,0.508746,0.612245,0.500000,0.498716,0.563168,0.708455,0.676585,0.649660
QID9_29,Product Preferences - Pricing,2058,2,0.837707,-0.013668,-0.014764,0.560253,0.553450,0.554422,0.654033,0.654033,0.640428,0.667153,0.637000,0.521866,0.627308,0.529640,0.516046,0.590865,0.705053,0.682439,0.655491
QID9_30,Product Preferences - Pricing,2058,2,0.832362,-0.020705,-0.004691,0.552964,0.527211,0.545675,0.653061,0.642371,0.639942,0.658406,0.676000,0.502915,0.621477,0.524781,0.496149,0.582604,0.703110,0.688293,0.656463
QID9_31,Product Preferences - Pricing,2058,2,0.837221,0.001830,-0.005376,0.568513,0.586978,0.566084,0.671526,0.668610,0.633139,0.677843,0.643000,0.488338,0.634597,0.479106,0.509628,0.575802,0.717201,0.690244,0.662779
QID9_32,Product Preferences - Pricing,2058,2,0.835763,-0.026472,-0.017959,0.551992,0.529640,0.526725,0.657920,0.665209,0.637026,0.656463,0.635000,0.499028,0.628766,0.500486,0.506418,0.576288,0.724490,0.698537,0.669096
QID9_33,Product Preferences - Pricing,2058,2,0.839164,-0.012537,-0.006170,0.573372,0.562682,0.574344,0.658406,0.660350,0.631195,0.673469,0.667000,0.502430,0.631681,0.487852,0.513479,0.568513,0.717687,0.686341,0.657434
QID9_34,Product Preferences - Pricing,2058,2,0.835763,-0.014848,-0.000525,0.571429,0.546161,0.589407,0.658406,0.657920,0.637026,0.658892,0.647000,0.490768,0.635083,0.519922,0.491014,0.590379,0.723518,0.685366,0.658892
QID9_35,Product Preferences - Pricing,2058,2,0.837221,-0.010209,-0.008319,0.560253,0.565112,0.561710,0.657434,0.650146,0.644801,0.661808,0.649000,0.493683,0.631681,0.502915,0.498074,0.591837,0.720117,0.683902,0.662779
QID9_36,Product Preferences - Pricing,2058,2,0.833333,-0.020000,0.002013,0.573858,0.561224,0.563654,0.672983,0.675413,0.635569,0.668124,0.652000,0.480078,0.618562,0.475705,0.484596,0.561224,0.711856,0.687317,0.644315
QID9_37,Product Preferences - Pricing,2058,2,0.845967,-0.012226,-0.008467,0.557823,0.559281,0.551020,0.657920,0.644315,0.645287,0.660350,0.636000,0.484451,0.590379,0.508260,0.515404,0.554908,0.687561,0.677073,0.654033
QID9_38,Product Preferences - Pricing,2058,2,0.813897,-0.022225,0.002782,0.562196,0.539845,0.577745,0.652089,0.641885,0.639942,0.659864,0.682000,0.491254,0.613703,0.499028,0.494223,0.571429,0.711370,0.686341,0.655005
QID9_39,Product Preferences - Pricing,2058,2,0.839164,-0.008255,-0.013684,0.581633,0.566084,0.578717,0.672983,0.671040,0.638484,0.674927,0.635000,0.487366,0.587949,0.483479,0.512195,0.535957,0.726433,0.696585,0.649174
QID9_40,Product Preferences - Pricing,2058,2,0.832847,-0.008255,0.000094,0.552478,0.566084,0.575316,0.648202,0.634597,0.620505,0.662293,0.622000,0.480078,0.588435,0.475219,0.507702,0.561224,0.681730,0.659512,0.655005
QID162,Outcome bias - failure,1006,7,0.483101,-0.097249,-0.025839,0.487078,0.443340,0.482107,0.488072,0.491054,0.481113,0.488072,0.471459,0.483101,0.488072,0.486083,0.300000,0.487078,0.221670,0.428714,0.395626
QID163,Anchoring - African countries low,1002,2,0.794411,-0.060471,-0.017232,0.798403,0.798403,0.798403,0.798403,0.798403,0.797405,0.798403,0.819672,0.797405,0.798403,0.797405,0.785808,0.798403,0.797405,0.799398,0.792415
QID167,Anchoring - redwood low,1049,2,0.938036,-0.148234,0.002037,0.943756,0.940896,0.943756,0.943756,0.943756,0.939943,0.943756,0.954000,0.942803,0.942803,0.943756,0.617100,0.941849,0.943756,0.943541,0.941849
QID190,WTA/WTP Thaler problem - WTA certainty,673,10,0.426449,-0.161488,-0.027105,0.310550,0.228826,0.301634,0.093611,0.098068,0.104012,0.080238,0.059561,0.075780,0.092125,0.056464,0.048733,0.080238,0.105498,0.071749,0.148588
QID194,Myside Ford,1015,6,0.453202,-0.066609,0.000247,0.349754,0.290640,0.335961,0.257143,0.251232,0.261084,0.278818,0.300412,0.214778,0.187192,0.211823,0.287565,0.210837,0.319212,0.329039,0.203941
QID198_1,Probability matching vs. maximizing - Problem 1,1032,2,0.873062,-0.025967,0.053437,0.921512,0.920543,0.921512,0.921512,0.921512,0.921512,0.921512,0.919291,0.835271,0.921512,0.921512,0.924841,0.921512,0.921512,0.921206,0.921512
QID198_2,Probability matching vs. maximizing - Problem 1,1032,2,0.826550,-0.021382,-0.020815,0.870155,0.870155,0.870155,0.870155,0.870155,0.870155,0.870155,0.868110,0.790698,0.870155,0.870155,0.868790,0.871124,0.870155,0.869650,0.870155
QID198_3,Probability matching vs. maximizing - Problem 1,1032,2,0.738372,-0.016401,-0.028075,0.772287,0.758721,0.772287,0.772287,0.772287,0.772287,0.772287,0.761811,0.702519,0.772287,0.772287,0.766879,0.773256,0.772287,0.773346,0.765504
QID198_4,Probability matching vs. maximizing - Problem 1,1032,2,0.726744,-0.035547,-0.009468,0.792636,0.769380,0.792636,0.792636,0.792636,0.792636,0.792636,0.783465,0.715116,0.792636,0.792636,0.787261,0.791667,0.792636,0.791829,0.793605
QID198_5,Probability matching vs. maximizing - Problem 1,1032,2,0.738372,-0.031994,-0.003621,0.794574,0.775194,0.794574,0.794574,0.794574,0.794574,0.794574,0.809055,0.725775,0.794574,0.794574,0.784713,0.794574,0.794574,0.794747,0.793605
QID198_6,Probability matching vs. maximizing - Problem 1,1032,2,0.709302,-0.033652,0.017407,0.750000,0.737403,0.750000,0.750000,0.750000,0.750000,0.750000,0.761811,0.684109,0.750000,0.750000,0.741401,0.750000,0.750000,0.750000,0.748062
QID198_7,Probability matching vs. maximizing - Problem 1,1032,2,0.696705,-0.005594,0.023868,0.738372,0.736434,0.738372,0.738372,0.738372,0.738372,0.738372,0.736220,0.677326,0.738372,0.738372,0.728662,0.738372,0.738372,0.738327,0.733527
QID198_8,Probability matching vs. maximizing - Problem 1,1032,2,0.659884,-0.020676,0.020486,0.698643,0.669574,0.697674,0.698643,0.698643,0.698643,0.698643,0.671260,0.631783,0.698643,0.698643,0.705732,0.698643,0.698643,0.698444,0.694767
QID198_9,Probability matching vs. maximizing - Problem 1,1032,2,0.670543,-0.036220,0.006063,0.674419,0.641473,0.664729,0.674419,0.674419,0.674419,0.674419,0.673228,0.616279,0.674419,0.674419,0.666242,0.674419,0.674419,0.673152,0.667636
QID198_10,Probability matching vs. maximizing - Problem 1,1032,2,0.696705,-0.033496,0.002301,0.709302,0.689922,0.710271,0.709302,0.709302,0.709302,0.709302,0.700787,0.638566,0.709302,0.709302,0.712102,0.709302,0.709302,0.708171,0.705426
QID157,Disease - gain,1003,6,0.399801,-0.086997,-0.012011,0.279163,0.293121,0.315055,0.301097,0.300100,0.297109,0.296112,0.288344,0.285145,0.283151,0.276171,0.302234,0.252243,0.145563,0.263000,0.268195
QID172,Less is More Gamble B,672,5,0.440476,-0.096889,0.003980,0.261905,0.244048,0.308036,0.209821,0.232143,0.197917,0.183036,0.195122,0.197917,0.230655,0.241071,0.261719,0.214286,0.238095,0.203593,0.223214
QID175,Proportion dominance 1B,672,5,0.607143,-0.079719,0.014882,0.535714,0.500000,0.529762,0.510417,0.529762,0.497024,0.474702,0.478659,0.494048,0.520833,0.534226,0.339844,0.535714,0.330357,0.374251,0.505952
QID178,Proportion dominance 2B,672,6,0.505952,-0.128209,-0.008977,0.357143,0.303571,0.360119,0.287202,0.291667,0.293155,0.299107,0.301829,0.264881,0.346726,0.267857,0.193359,0.278274,0.327381,0.332335,0.311012
QID183,Absolute vs. relative - calculator,1031,2,0.808923,-0.017697,-0.030618,0.726479,0.709020,0.725509,0.709990,0.692532,0.677983,0.682832,0.729167,0.725509,0.693501,0.697381,0.258106,0.726479,0.642095,0.703992,0.707081
QID193,Allais Form 2,1007,2,0.709037,-0.037216,0.002323,0.622642,0.606753,0.636544,0.377358,0.374379,0.391261,0.393247,0.398305,0.357498,0.377358,0.377358,0.374841,0.377358,0.486594,0.378244,0.555114
QID159_1,Linda -no conjunction,1029,6,0.373178,-0.067710,-0.022858,0.389699,0.338192,0.361516,0.230321,0.216715,0.218659,0.213800,0.270325,0.072886,0.123421,0.146744,0.221656,0.176871,0.341108,0.391007,0.354713
QID159_2,Linda -no conjunction,1029,6,0.383868,-0.085552,-0.008583,0.335277,0.287658,0.328474,0.263362,0.267250,0.235180,0.247813,0.239837,0.113703,0.241011,0.282799,0.258599,0.260447,0.281827,0.230694,0.179786
QID159_3,Linda -no conjunction,1029,6,0.451895,-0.063612,0.001406,0.360544,0.377065,0.408163,0.376093,0.371234,0.380952,0.362488,0.376016,0.170068,0.379981,0.364431,0.087898,0.376093,0.245870,0.330401,0.310982
QID173,Less is More Gamble C,651,5,0.417819,-0.101749,-0.010291,0.290323,0.241167,0.256528,0.224270,0.227343,0.253456,0.187404,0.192926,0.185868,0.207373,0.258065,0.290837,0.251920,0.231951,0.197531,0.259601
QID176,Proportion dominance 1C,651,5,0.645161,-0.071388,-0.023664,0.566820,0.534562,0.557604,0.540707,0.533026,0.522273,0.513057,0.450161,0.513057,0.565284,0.552995,0.372510,0.566820,0.357911,0.416667,0.494624
QID179,Proportion dominance 2C,651,6,0.491551,-0.122055,-0.022905,0.354839,0.308756,0.339478,0.299539,0.285714,0.305684,0.308756,0.321543,0.262673,0.336406,0.287250,0.187251,0.337942,0.321045,0.347222,0.287250
QID189,WTA/WTP Thaler problem - WTP certainty,712,10,0.474719,-0.122511,-0.042801,0.299157,0.296348,0.299157,0.248596,0.237360,0.203652,0.181180,0.150997,0.140449,0.198034,0.279494,0.293785,0.117978,0.160112,0.177465,0.051966
