perimetre,condition,mecanisme,cellules,valeur,temoin,exces,valeur_humains,ecart_aux_humains,valeur_raretes_justes,lift
1052,agents demographiques (v6),H1a deplacement dans la famille,277,0.238267,0.246150,-0.007883,0.420765,-0.182498,0.677419,0.967977
1052,agents demographiques (v6),H2a rarete modale du segment,694,0.595101,0.520475,0.074626,0.543264,0.051837,0.379801,1.143381
1052,agents demographiques (v6),H3 position extreme,1486,0.318304,0.363761,-0.045457,0.597052,-0.278747,0.149946,0.875036
1052,agents demographiques (v6),H5 rarete du contexte,1486,0.038976,0.036583,0.002393,0.044776,-0.005800,0.042190,1.065420
1052,agents demographiques (v6),H1b exces de rarete de la personne,1486,0.038085,0.035903,0.002182,0.044669,-0.006584,0.042188,1.060768
1052,agents demographiques (v6),H2b exces de rarete du segment,1486,0.120600,0.113101,0.007499,0.112288,0.008312,0.233542,1.066306
1052,agents v7,H1a deplacement dans la famille,692,0.335260,0.336393,-0.001133,0.420765,-0.085505,0.660000,0.996631
1052,agents v7,H2a rarete modale du segment,861,0.607433,0.500744,0.106689,0.543264,0.064169,0.634615,1.213061
1052,agents v7,H3 position extreme,2392,0.557274,0.593396,-0.036122,0.597052,-0.039777,0.591146,0.939127
1052,agents v7,H5 rarete du contexte,2392,0.037292,0.036447,0.000845,0.044776,-0.007484,0.046063,1.023175
1052,agents v7,H1b exces de rarete de la personne,2392,0.036820,0.036019,0.000802,0.044669,-0.007848,0.045731,1.022258
1052,agents v7,H2b exces de rarete du segment,2392,0.102179,0.096042,0.006137,0.112288,-0.010110,0.150006,1.063898
1052,agents v8,H1a deplacement dans la famille,3165,0.379463,0.305946,0.073516,0.420765,-0.041302,0.726813,1.240292
1052,agents v8,H2a rarete modale du segment,1194,0.684255,0.575258,0.108997,0.543264,0.140991,0.808383,1.189474
1052,agents v8,H3 position extreme,5467,0.779952,0.782008,-0.002055,0.597052,0.182901,0.852041,0.997372
1052,agents v8,H5 rarete du contexte,5467,0.039988,0.036134,0.003854,0.044776,-0.004788,0.053398,1.106659
1052,agents v8,H1b exces de rarete de la personne,5467,0.039725,0.036087,0.003637,0.044669,-0.004944,0.053371,1.100792
1052,agents v8,H2b exces de rarete du segment,5467,0.149629,0.085857,0.063773,0.112288,0.037341,0.183602,1.742779
150,C2,H1a deplacement dans la famille,226,0.477876,0.297729,0.180147,0.490385,-0.012509,0.605263,1.605073
150,C2,H2a rarete modale du segment,314,0.500000,0.237856,0.262144,0.485030,0.014970,0.333333,2.102110
150,C2,H3 position extreme,808,0.586634,0.591113,-0.004479,0.511568,0.075066,0.729167,0.992423
150,C2,H5 rarete du contexte,808,0.035286,0.032985,0.002301,0.042970,-0.007684,0.055194,1.069761
150,C2,H4 sur confiance,808,0.556931,0.803404,,,,0.718750,0.693213
150,C2,H1b exces de rarete de la personne,808,0.035348,0.032981,0.002366,0.042243,-0.006895,0.055039,1.071751
150,C2,H2b exces de rarete du segment,808,0.130313,0.098795,0.031518,0.117358,0.012956,0.139004,1.319024
150,C3,H1a deplacement dans la famille,248,0.370968,0.280591,0.090376,0.490385,-0.119417,0.746269,1.322092
150,C3,H2a rarete modale du segment,282,0.439716,0.360811,0.078905,0.485030,-0.045314,0.447368,1.218687
150,C3,H3 position extreme,1004,0.736056,0.729135,0.006921,0.511568,0.224488,0.774390,1.009492
150,C3,H5 rarete du contexte,1004,0.036413,0.032792,0.003621,0.042970,-0.006557,0.055206,1.110427
150,C3,H4 sur confiance,1004,0.488048,0.784107,,,,0.664634,0.622425
150,C3,H1b exces de rarete de la personne,1004,0.036503,0.033025,0.003477,0.042243,-0.005740,0.055125,1.105291
150,C3,H2b exces de rarete du segment,1004,0.096481,0.092244,0.004237,0.117358,-0.020876,0.086563,1.045933
1052,B0 mode,H1a deplacement dans la famille,0,,,,0.420765,,,
1052,B0 mode,H2a rarete modale du segment,0,,,,0.543264,,,
1052,B0 mode,H3 position extreme,0,,,,0.597052,,,
1052,B0 mode,H5 rarete du contexte,0,,,,0.044776,,,
1052,B0 mode,H1b exces de rarete de la personne,0,,,,0.044669,,,
1052,B0 mode,H2b exces de rarete du segment,0,,,,0.112288,,,
1052,B0 tirage,H1a deplacement dans la famille,1396,0.260029,0.268512,-0.008484,0.420765,-0.160736,0.675926,0.968405
1052,B0 tirage,H2a rarete modale du segment,2094,0.496180,0.527885,-0.031706,0.543264,-0.047084,0.708661,0.939938
1052,B0 tirage,H3 position extreme,5043,0.590918,0.590149,0.000769,0.597052,-0.006133,0.622159,1.001303
1052,B0 tirage,H5 rarete du contexte,5043,0.035566,0.036304,-0.000738,0.044776,-0.009210,0.046824,0.979671
1052,B0 tirage,H1b exces de rarete de la personne,5043,0.035189,0.035931,-0.000741,0.044669,-0.009479,0.046088,0.979364
1052,B0 tirage,H2b exces de rarete du segment,5043,0.106958,0.109060,-0.002102,0.112288,-0.005330,0.132546,0.980730
1052,B1 argmax,H1a deplacement dans la famille,276,0.387681,0.264658,0.123023,0.420765,-0.033084,0.693878,1.464838
1052,B1 argmax,H2a rarete modale du segment,489,0.687117,0.526571,0.160546,0.543264,0.143853,0.696721,1.304889
1052,B1 argmax,H3 position extreme,1021,0.555338,0.562698,-0.007360,0.597052,-0.041714,0.673716,0.986920
1052,B1 argmax,H5 rarete du contexte,1021,0.039749,0.036305,0.003444,0.044776,-0.005026,0.044911,1.094856
1052,B1 argmax,H1b exces de rarete de la personne,1021,0.039224,0.035811,0.003413,0.044669,-0.005445,0.045705,1.095299
1052,B1 argmax,H2b exces de rarete du segment,1021,0.190610,0.126799,0.063811,0.112288,0.078321,0.220043,1.503242
1052,B2 argmax,H1a deplacement dans la famille,50,0.640000,0.251046,0.388954,0.420765,0.219235,0.866667,2.549337
1052,B2 argmax,H2a rarete modale du segment,64,0.843750,0.421914,0.421836,0.543264,0.300486,0.820225,1.999815
1052,B2 argmax,H3 position extreme,152,0.565789,0.625662,-0.059873,0.597052,-0.031262,0.573529,0.904305
1052,B2 argmax,H5 rarete du contexte,152,0.056735,0.036366,0.020369,0.044776,0.011960,0.060401,1.560096
1052,B2 argmax,H1b exces de rarete de la personne,152,0.055343,0.035720,0.019624,0.044669,0.010674,0.059883,1.549378
1052,B2 argmax,H2b exces de rarete du segment,152,0.226383,0.140303,0.086080,0.112288,0.114095,0.246690,1.613533
1052,B3 foret,H1a deplacement dans la famille,32,0.250000,0.121762,0.128238,0.420765,-0.170765,0.526316,2.053184
1052,B3 foret,H2a rarete modale du segment,37,0.459459,0.360283,0.099177,0.543264,-0.083805,0.478261,1.275274
1052,B3 foret,H3 position extreme,95,0.757895,0.687894,0.070001,0.597052,0.160843,0.829268,1.101761
1052,B3 foret,H5 rarete du contexte,95,0.038744,0.035688,0.003056,0.044776,-0.006032,0.038837,1.085634
1052,B3 foret,H1b exces de rarete de la personne,95,0.039118,0.035589,0.003529,0.044669,-0.005551,0.039387,1.099164
1052,B3 foret,H2b exces de rarete du segment,95,0.289127,0.159646,0.129481,0.112288,0.176839,0.233352,1.811055
1052,humains vague 2,H1a deplacement dans la famille,732,0.420765,0.252578,0.168187,0.420765,0.000000,0.690798,1.665883
1052,humains vague 2,H2a rarete modale du segment,913,0.543264,0.529067,0.014197,0.543264,0.000000,0.546043,1.026834
1052,humains vague 2,H3 position extreme,2442,0.597052,0.613390,-0.016338,0.597052,0.000000,0.573802,0.973364
1052,humains vague 2,H5 rarete du contexte,2442,0.044776,0.036357,0.008419,0.044776,0.000000,0.045161,1.231553
1052,humains vague 2,H1b exces de rarete de la personne,2442,0.044669,0.035999,0.008670,0.044669,0.000000,0.044718,1.240825
1052,humains vague 2,H2b exces de rarete du segment,2442,0.112288,0.098920,0.013369,0.112288,0.000000,0.143423,1.135148
150,humains vague 2,H1a deplacement dans la famille,104,0.490385,0.261218,0.229167,0.490385,0.000000,0.666667,1.877301
150,humains vague 2,H2a rarete modale du segment,167,0.485030,0.312635,0.172395,0.485030,0.000000,0.378571,1.551427
150,humains vague 2,H3 position extreme,389,0.511568,0.541742,-0.030174,0.511568,0.000000,0.562147,0.944302
150,humains vague 2,H5 rarete du contexte,389,0.042970,0.033359,0.009611,0.042970,0.000000,0.045161,1.288097
150,humains vague 2,H1b exces de rarete de la personne,389,0.042243,0.032936,0.009307,0.042243,0.000000,0.044358,1.282579
150,humains vague 2,H2b exces de rarete du segment,389,0.117358,0.105501,0.011856,0.117358,0.000000,0.120160,1.112382
